Treatment,Groups,Number,Body weight (mg)
0.04%GLS,B,6,n/a
0.04%GLS,B,7,202
0.04%GLS,B,8,218
0.04%GLS,B,9,n/a
0.04%GLS,B,10,194
0.04%GLS,B,11,n/a
0.04%GLS,B,12,n/a
0.04%GLS,B,13,235
0.04%GLS,B,14,219
0.04%GLS,B,15,242
0.04%GLS,B,16,n/a
0.04%GLS,B,17,n/a
0.04%GLS,B,18,228
0.04%GLS,C,1,192
0.04%GLS,C,2,177
0.04%GLS,C,3,n/a
0.04%GLS,C,4,n/a
0.04%GLS,C,5,247
0.04%GLS,C,6,n/a
0.04%GLS,C,7,n/a
0.04%GLS,C,8,n/a
0.04%GLS,C,9,213
0.04%GLS,C,10,234
0.04%GLS,C,11,n/a
0.04%GLS,C,12,n/a
0.04%GLS,C,13,n/a
0.04%GLS,C,14,n/a
0.04%GLS,C,15,216
0.04%GLS,C,16,203
0.04%GLS,C,17,197
0.04%GLS,C,18,n/a
0.04%GLS,C,19,188
0.04%GLS+dsEGFP,A,1,264
0.04%GLS+dsEGFP,A,2,n/a
0.04%GLS+dsEGFP,A,3,n/a
0.04%GLS+dsEGFP,A,4,201
0.04%GLS+dsEGFP,A,5,169
0.04%GLS+dsEGFP,A,6,n/a
0.04%GLS+dsEGFP,A,7,n/a
0.04%GLS+dsEGFP,A,8,231
0.04%GLS+dsEGFP,A,9,n/a
0.04%GLS+dsEGFP,A,10,209
0.04%GLS+dsEGFP,A,11,219
0.04%GLS+dsEGFP,A,12,241
0.04%GLS+dsEGFP,A,13,n/a
0.04%GLS+dsEGFP,A,14,n/a
0.04%GLS+dsEGFP,A,15,n/a
0.04%GLS+dsEGFP,A,16,195
0.04%GLS+dsEGFP,A,17,198
0.04%GLS+dsEGFP,A,18,191
0.04%GLS+dsEGFP,B,1,219
0.04%GLS+dsEGFP,B,2,235
0.04%GLS+dsEGFP,B,3,n/a
0.04%GLS+dsEGFP,B,4,202
0.04%GLS+dsEGFP,B,5,n/a
0.04%GLS+dsEGFP,B,6,n/a
0.04%GLS+dsEGFP,B,7,186
0.04%GLS+dsEGFP,B,8,n/a
0.04%GLS+dsEGFP,B,9,n/a
0.04%GLS+dsEGFP,B,10,196
0.04%GLS+dsEGFP,B,11,n/a
0.04%GLS+dsEGFP,B,12,n/a
0.04%GLS+dsEGFP,B,13,202
0.04%GLS+dsEGFP,B,14,n/a
0.04%GLS+dsEGFP,B,15,n/a
0.04%GLS+dsEGFP,B,16,218
0.04%GLS+dsEGFP,B,17,n/a
0.04%GLS+dsEGFP,B,18,221
0.04%GLS+dsEGFP,C,1,n/a
0.04%GLS+dsEGFP,C,2,n/a
0.04%GLS+dsEGFP,C,3,213
