Treatment,Groups,Number,Pupa weight (mg)
0.04%GLS+dsSumf1,A,18,n/a
0.04%GLS+dsSumf1,B,1,n/a
0.04%GLS+dsSumf1,B,2,n/a
0.04%GLS+dsSumf1,B,3,n/a
0.04%GLS+dsSumf1,B,4,n/a
0.04%GLS+dsSumf1,B,5,n/a
0.04%GLS+dsSumf1,B,6,n/a
0.04%GLS+dsSumf1,B,7,n/a
0.04%GLS+dsSumf1,B,8,n/a
0.04%GLS+dsSumf1,B,9,n/a
0.04%GLS+dsSumf1,B,10,n/a
0.04%GLS+dsSumf1,B,11,n/a
0.04%GLS+dsSumf1,B,12,n/a
0.04%GLS+dsSumf1,B,13,n/a
0.04%GLS+dsSumf1,B,14,n/a
0.04%GLS+dsSumf1,B,15,218
0.04%GLS+dsSumf1,B,16,n/a
0.04%GLS+dsSumf1,B,17,n/a
0.04%GLS+dsSumf1,B,18,n/a
0.04%GLS+dsSumf1,C,1,n/a
0.04%GLS+dsSumf1,C,2,n/a
0.04%GLS+dsSumf1,C,3,n/a
0.04%GLS+dsSumf1,C,4,n/a
0.04%GLS+dsSumf1,C,5,n/a
0.04%GLS+dsSumf1,C,6,n/a
0.04%GLS+dsSumf1,C,7,n/a
0.04%GLS+dsSumf1,C,8,n/a
0.04%GLS+dsSumf1,C,9,n/a
0.04%GLS+dsSumf1,C,10,226
0.04%GLS+dsSumf1,C,11,n/a
0.04%GLS+dsSumf1,C,12,n/a
0.04%GLS+dsSumf1,C,13,n/a
0.04%GLS+dsSumf1,C,14,n/a
0.04%GLS+dsSumf1,C,15,n/a
0.04%GLS+dsSumf1,C,16,n/a
0.04%GLS+dsSumf1,C,17,n/a
0.04%GLS+dsSumf1,C,18,n/a
0.04%GLS+dsSumf1,C,19,n/a
