Species,Protocol,RunID,Elapsed,A,Ci,Tleaf,CO2_r,PAR,VPDleaf
Tobacco,Monotonic,Monotonic_2,1205.4,23.13323578,472.7360382,25.00768,600.0201,1000.0024,1.501244873
Tobacco,Monotonic,Monotonic_2,1325.9,23.66100478,565.1596147,25.00226,700.0253,1000.0005,1.505153992
Tobacco,Monotonic,Monotonic_2,1446.4,23.86713319,658.3129541,25.00723,799.9746,1000.0569,1.508695114
Tobacco,Monotonic,Monotonic_2,1566.9,23.87544626,847.5964864,25.00291,999.9789,1000.0581,1.509495267
Tobacco,Monotonic,Monotonic_2,1687.4,23.58668787,1086.004522,24.99205,1249.984,999.9682,1.509620443
Tobacco,Monotonic,Monotonic_2,1813.4,23.16056735,1323.433185,25.00675455,1499.967273,999.9736364,1.512344617
Tobacco,Monotonic,Monotonic_2,1937.4,23.2581089,1558.116333,25.02412727,1749.894545,999.9646364,1.513301504
Tobacco,Random,Random_1,0,18.06205754,293.9945407,999.9,400.0055667,1000.000967,1.489605563
Tobacco,Random,Random_1,120.5,18.02691464,294.8325989,999.9,400.0164667,999.9995667,1.494491396
Tobacco,Random,Random_1,248.0999999,20.47077253,379.5451278,999.9,500.0194667,999.9981,1.492894486
Tobacco,Random,Random_1,369.5999999,18.05887032,295.1634611,999.9,399.9840667,1000.000233,1.493396195
Tobacco,Random,Random_1,490.0999999,18.05194954,295.8813402,999.9,400.015,1000.000867,1.49135427
Tobacco,Random,Random_1,610.5999999,0.187994387,47.32032868,999.9,49.99203667,1000.001767,1.491651629
Tobacco,Random,Random_1,731.0999999,17.30737189,300.9605206,999.9,399.9971,1000.003733,1.492079212
Tobacco,Random,Random_1,851.5999999,18.08232631,298.3700486,999.9,400.0071333,999.9998333,1.489990414
Tobacco,Random,Random_1,980.0999999,24.9913989,842.6639975,999.9,999.9662333,1000.010633,1.500883306
Tobacco,Random,Random_1,1103.6,17.80718408,294.8048067,999.9,399.9876,999.9972667,1.508562012
Tobacco,Random,Random_1,1224.1,18.09422423,293.0166393,999.9,399.9925667,999.9936,1.499558676
Tobacco,Random,Random_1,1344.6,9.10522731,146.2741149,999.9,199.9783333,1000.012233,1.496765599
Tobacco,Random,Random_1,1465.1,17.77356387,295.4863217,999.9,399.9984,999.9884,1.492412877
Tobacco,Random,Random_1,1585.6,18.13270641,294.255571,999.9,400.0356667,1000.000767,1.492913772
Tobacco,Random,Random_1,1706.5,18.75429845,309.6485094,999.9,420.0103,999.9973333,1.49952686
Tobacco,Random,Random_1,1827,18.11136061,293.0345336,999.9,399.9755667,1000.001567,1.499809893
