IDO1,CCR7,FOXP3,CD4,PDCD1,CCL22,EPCAM,CCL19,CD8A,CXCL10,CD3E,TCF7,AF_R3,AF_R2,AF_R1,nucleus_perim,slide,x,y,type,comp
0,0,2,16,0,0,0,0,0,0,1,0,0,0,0,32.415802,MSa29_05,16901.5,3487,Other,MSa29_05_1
0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,25.93264,MSa29_05,16812,3487,Other,MSa29_05_1
0,1,2,3,0,0,0,0,0,0,2,0,0,0,0,19.948185,MSa29_05,16763,3489,Tregs,MSa29_05_1
15,0,0,15,0,0,0,0,0,0,0,0,0,0,0,21.943005,MSa29_05,16863,3494.5,Other,MSa29_05_1
0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,13.96373,MSa29_05,16882.5,3495,Other,MSa29_05_1
0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,25.93264,MSa29_05,16772.5,3503,Other,MSa29_05_1
0,0,0,12,3,0,0,0,0,0,0,0,0,0,0,26.93005,MSa29_05,16825,3505,Other,MSa29_05_1
0,0,1,5,0,0,0,0,0,0,1,0,0,0,0,17.953367,MSa29_05,16791,3504.5,Tregs,MSa29_05_1
0,2,1,2,0,0,0,0,0,0,2,0,0,0,0,19.948185,MSa29_05,16890,3508,Tregs,MSa29_05_1
0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,20.945595,MSa29_05,16831,3514.5,Other,MSa29_05_1
3,2,2,7,2,0,0,0,0,4,1,2,0,0,0,20.945595,MSa29_05,16848.5,3512,mregDCs,MSa29_05_1
0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,17.953367,MSa29_05,16750,3513,Other,MSa29_05_1
0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,11.470206,MSa29_05,16917,3512,Other,MSa29_05_1
4,1,6,5,3,0,0,0,0,1,0,0,0,0,0,18.950775,MSa29_05,16867.5,3515,Other,MSa29_05_1
0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,17.454662,MSa29_05,16805.5,3516.5,TCF7+ CD4 T cells,MSa29_05_1
0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,14.462435,MSa29_05,16899.5,3520,Other,MSa29_05_1
0,1,0,7,1,0,0,0,0,0,0,2,0,0,0,16.955957,MSa29_05,16774,3522.5,Other,MSa29_05_1
0,1,1,7,1,0,0,1,0,0,4,3,0,0,0,14.961139,MSa29_05,16816.5,3522.5,Tregs,MSa29_05_1
0,0,0,4,1,0,0,0,0,0,3,0,0,0,0,16.955957,MSa29_05,16736.5,3524,TCF7- CD4 T cells,MSa29_05_1
0,0,0,14,2,0,0,0,2,0,0,4,0,0,0,17.953367,MSa29_05,16795.5,3525,Other,MSa29_05_1
