CP,Iteration,Species1,nSamples1,Species2,nSamples2,F,R2,P,adjP
Nov_2018,3,SYCA,8,TRST,8,8.450603594,0.376408748,2.00E-04,0.0096
Nov_2018,3,TRAN,8,TRST,8,5.265298569,0.2733048,3.00E-04,0.0114
Nov_2018,4,AEME,8,COTA,8,4.787768782,0.254834347,3.00E-04,0.0138
Nov_2018,4,AEME,8,HINI,8,3.756144246,0.211540535,8.00E-04,0.0168
Nov_2018,4,AEME,8,KOEL,8,2.294764019,0.140828306,0.0101,0.101
Nov_2018,4,AEME,8,LOAF,8,2.594592522,0.156351686,5.00E-04,0.015
Nov_2018,4,AEME,8,OUOU,8,2.110105186,0.130980224,0.0175,0.1152
Nov_2018,4,AEME,8,PHAF,8,2.711906054,0.162273893,0.0046,0.0598
Nov_2018,4,AEME,8,REAR,8,3.175383734,0.18487993,5.00E-04,0.015
Nov_2018,4,AEME,8,SYCA,8,5.293505652,0.274367227,1.00E-04,0.0055
Nov_2018,4,AEME,8,TRAN,8,6.123102461,0.304282228,3.00E-04,0.0138
Nov_2018,4,AEME,8,TRST,8,2.206225618,0.13613445,0.0136,0.1152
Nov_2018,4,COTA,8,HINI,8,3.136312699,0.183021444,0.0202,0.1152
Nov_2018,4,COTA,8,KOEL,8,3.914146136,0.218494708,0.0021,0.0357
Nov_2018,4,COTA,8,LOAF,8,5.305355716,0.274812637,2.00E-04,0.0106
Nov_2018,4,COTA,8,OUOU,8,5.302310808,0.27469824,2.00E-04,0.0106
Nov_2018,4,COTA,8,PHAF,8,3.986240721,0.221627231,0.0036,0.0576
Nov_2018,4,COTA,8,REAR,8,7.13054795,0.337452108,4.00E-04,0.0144
Nov_2018,4,COTA,8,SYCA,8,6.997523678,0.333254711,5.00E-04,0.015
Nov_2018,4,COTA,8,TRAN,8,17.8289091,0.560148293,2.00E-04,0.0106
Nov_2018,4,COTA,8,TRST,8,8.75678126,0.384798762,3.00E-04,0.0138
Nov_2018,4,HINI,8,KOEL,8,2.727171911,0.163038434,0.0146,0.1152
Nov_2018,4,HINI,8,LOAF,8,3.660083151,0.207251751,6.00E-04,0.015
Nov_2018,4,HINI,8,OUOU,8,4.113198441,0.227082945,3.00E-04,0.0138
Nov_2018,4,HINI,8,PHAF,8,3.834592885,0.215008714,5.00E-04,0.015
Nov_2018,4,HINI,8,REAR,8,5.629116904,0.286773823,3.00E-04,0.0138
Nov_2018,4,HINI,8,SYCA,8,3.893575904,0.2175963,0.0128,0.1152
Nov_2018,4,HINI,8,TRAN,8,12.27688805,0.467212405,2.00E-04,0.0106
Nov_2018,4,HINI,8,TRST,8,6.323348264,0.311137131,2.00E-04,0.0106
Nov_2018,4,KOEL,8,LOAF,8,2.101879458,0.130536281,0.0037,0.0576
Nov_2018,4,KOEL,8,OUOU,8,1.924130596,0.120831124,0.0579,0.1503
Nov_2018,4,KOEL,8,PHAF,8,1.81134198,0.114559661,0.0746,0.1503
Nov_2018,4,KOEL,8,REAR,8,1.972504306,0.123493741,0.0501,0.1503
Nov_2018,4,KOEL,8,SYCA,8,3.165217966,0.18439719,0.0073,0.0876
Nov_2018,4,KOEL,8,TRAN,8,7.91022241,0.36102885,4.00E-04,0.0144
Nov_2018,4,KOEL,8,TRST,8,4.203923895,0.23093504,3.00E-04,0.0138
Nov_2018,4,LOAF,8,OUOU,8,2.496745292,0.151347751,0.0012,0.0228
Nov_2018,4,LOAF,8,PHAF,8,3.03034753,0.177938091,1.00E-04,0.0055
Nov_2018,4,LOAF,8,REAR,8,3.310582302,0.191246155,0.001,0.02
Nov_2018,4,LOAF,8,SYCA,8,4.154154848,0.228826673,4.00E-04,0.0144
Nov_2018,4,LOAF,8,TRAN,8,5.396918001,0.278235852,7.00E-04,0.0154
Nov_2018,4,LOAF,8,TRST,8,3.179476944,0.185074141,4.00E-04,0.0144
Nov_2018,4,OUOU,8,PHAF,8,2.568793145,0.155038036,0.0036,0.0576
Nov_2018,4,OUOU,8,REAR,8,2.586324363,0.155931134,0.0077,0.0876
Nov_2018,4,OUOU,8,SYCA,8,5.865301159,0.295253574,4.00E-04,0.0144
Nov_2018,4,OUOU,8,TRAN,8,5.950742921,0.298271746,2.00E-04,0.0106
Nov_2018,4,OUOU,8,TRST,8,2.785751973,0.165959319,0.0015,0.027
