CP,Iteration,Species1,nSamples1,Species2,nSamples2,F,R2,P,adjP
Apr_2019,4,SYCA,8,TRST,8,14.59913195,0.510474653,3.00E-04,0.0126
Apr_2019,5,AEME,8,TRAN,8,2.72975707,0.163167765,0.0061,0.0488
Apr_2019,5,AEME,8,HINI,8,10.18970084,0.421241292,1.00E-04,0.0055
Apr_2019,5,AEME,8,COTA,8,11.22026107,0.444890758,4.00E-04,0.012
Apr_2019,5,AEME,8,KOEL,8,5.873253138,0.295535567,2.00E-04,0.009
Apr_2019,5,AEME,8,LOAF,8,2.895744911,0.171389005,4.00E-04,0.012
Apr_2019,5,AEME,8,OUOU,8,3.085023803,0.180568891,4.00E-04,0.012
Apr_2019,5,AEME,8,PHAF,8,6.782894712,0.326369103,1.00E-04,0.0055
Apr_2019,5,AEME,8,REAR,8,3.32677073,0.192001775,1.00E-04,0.0055
Apr_2019,5,AEME,8,SYCA,8,8.318552865,0.372719186,3.00E-04,0.012
Apr_2019,5,AEME,8,TRST,8,4.20064285,0.2307964,0.0017,0.0208
Apr_2019,5,TRAN,8,HINI,8,12.79628523,0.477539522,3.00E-04,0.012
Apr_2019,5,TRAN,8,COTA,8,14.85508813,0.514816939,3.00E-04,0.012
Apr_2019,5,TRAN,8,KOEL,8,8.603917429,0.380638332,1.00E-04,0.0055
Apr_2019,5,TRAN,8,LOAF,8,3.956111199,0.220321157,3.00E-04,0.012
Apr_2019,5,TRAN,8,OUOU,8,5.433675527,0.279601021,2.00E-04,0.009
Apr_2019,5,TRAN,8,PHAF,8,9.296869328,0.399060887,3.00E-04,0.012
Apr_2019,5,TRAN,8,REAR,8,4.825565197,0.256330429,1.00E-04,0.0055
Apr_2019,5,TRAN,8,SYCA,8,11.3276703,0.447244858,4.00E-04,0.012
Apr_2019,5,TRAN,8,TRST,8,3.857945557,0.21603524,0.0034,0.0306
Apr_2019,5,HINI,8,COTA,8,27.09865863,0.659356279,4.00E-04,0.012
Apr_2019,5,HINI,8,KOEL,8,10.46306426,0.427708653,3.00E-04,0.012
