SampleID,TopSeqSpeciesID
PNG_18_SYCA_23,['Syncerus caffer']
PNG_18_SYCA_24,['Syncerus caffer']
PNG_18_SYCA_26,['Syncerus caffer']
PNG_18_SYCA_28,['Syncerus caffer']
PNG_18_SYCA_30,['Syncerus caffer']
PNG_18_SYCA_31,['Syncerus caffer']
PNG_18_SYCA_32,['Kobus ellipsiprymnus']
PNG_18_SYCA_33,['Syncerus caffer']
PNG_18_SYCA_34,['Syncerus caffer']
PNG_18_SYCA_35,['Syncerus caffer']
PNG_18_SYCA_36,['Syncerus caffer']
PNG_18_SYCA_37,['Syncerus caffer']
PNG_18_SYCA_38,['Syncerus caffer']
PNG_18_SYCA_39,['Syncerus caffer']
PNG_18_SYCA_40,['Syncerus caffer']
PNG_18_SYCA_41,['Syncerus caffer']
PNG_18_SYCA_42,['Syncerus caffer']
PNG_18_SYCA_44,['Syncerus caffer']
PNG_18_TRAN_01,['Tragelaphus angasii']
PNG_18_TRAN_02,['Tragelaphus angasii']
PNG_18_TRAN_03,['Tragelaphus angasii']
PNG_18_TRAN_05,['Tragelaphus angasii']
PNG_18_TRAN_06,['Tragelaphus angasii']
PNG_18_TRAN_07,['Tragelaphus angasii']
PNG_18_TRAN_08,['Tragelaphus angasii']
PNG_18_TRAN_09,['Tragelaphus angasii']
PNG_18_TRAN_10,['Tragelaphus angasii']
PNG_18_TRAN_12,['Tragelaphus angasii']
PNG_18_TRAN_13,['Tragelaphus angasii']
PNG_18_TRAN_14,['Tragelaphus angasii']
PNG_18_TRAN_15,['Tragelaphus angasii']
PNG_18_TRAN_23,['Tragelaphus angasii']
PNG_18_TRAN_24,['Tragelaphus angasii']
PNG_18_TRAN_25,['Tragelaphus angasii']
PNG_18_TRAN_26,['Tragelaphus angasii']
PNG_18_TRAN_28,['Tragelaphus scriptus']
PNG_18_TRAN_29,['Tragelaphus angasii']
PNG_18_TRAN_30,['Tragelaphus angasii']
PNG_18_TRAN_31,['Tragelaphus angasii']
PNG_18_TRAN_32,['Tragelaphus strepsiceros']
PNG_18_TRAN_33,['Tragelaphus angasii']
PNG_18_TRAN_34,['Tragelaphus angasii']
PNG_18_TRAN_35,['Aepyceros melampus']
PNG_18_TRAN_36,['Aepyceros melampus']
PNG_18_TRAN_37,['Aepyceros melampus']
PNG_18_TRAN_39,['Tragelaphus angasii']
PNG_18_TRAN_40,['Tragelaphus angasii']
PNG_18_TRAN_41,['Tragelaphus angasii']
PNG_18_TRAN_42,['Tragelaphus angasii']
PNG_18_TRAN_44,['Tragelaphus angasii']
PNG_18_TRAN_45,['Tragelaphus angasii']
PNG_18_TRSC_02,['Aepyceros melampus']
PNG_18_TRSC_03,['Aepyceros melampus']
PNG_18_TRSC_04,['Tragelaphus scriptus']
PNG_18_TRSC_05,['Aepyceros melampus']
PNG_18_TRSC_172,['Ourebia ourebi']
PNG_18_TRSC_173,['Aepyceros melampus']
PNG_18_TRSC_177,['Tragelaphus scriptus']
PNG_18_TRSC_179,['Tragelaphus scriptus']
PNG_18_TRST_01,['Tragelaphus strepsiceros']
PNG_18_TRST_03,['Alcelaphus buselaphus']
PNG_18_TRST_16,['Tragelaphus strepsiceros']
PNG_18_TRST_49,['Tragelaphus angasii']
PNG_18_TRST_50,['Tragelaphus angasii']
PNG_18_UKWN_01,['Leptailurus serval']
PNG_18_UKWN_02,['Hippotragus niger']
PNG_18_UKWN_03,['Urva javanica']
PNG_18_UKWN_04,['Herpestes ichneumon']
PNG_19_AEME_01,['Aepyceros melampus']
PNG_19_AEME_02,['Aepyceros melampus']
PNG_19_AEME_05,['Aepyceros melampus']
PNG_19_AEME_09,['Aepyceros melampus']
