CP,Iteration,Species1,nSamples1,Species2,nSamples2,F,R2,P,adjP
Jul_2016,5,LOAF,8,SYCA,8,6.332925111,0.311461586,2.00E-04,0.009
Jul_2016,5,LOAF,8,TRAN,8,3.34076298,0.192653748,2.00E-04,0.009
Jul_2016,5,LOAF,8,TRST,8,6.61181521,0.32077792,3.00E-04,0.0114
Jul_2016,5,OUOU,8,PHAF,8,2.673342488,0.160336327,0.0367,0.4404
Jul_2016,5,OUOU,8,REAR,8,0.855884777,0.057612508,0.4816,0.9632
Jul_2016,5,OUOU,8,SYCA,8,6.867928171,0.329114041,8.00E-04,0.02
Jul_2016,5,OUOU,8,TRAN,8,4.860970798,0.257726437,1.00E-04,0.0055
Jul_2016,5,OUOU,8,TRST,8,8.509566999,0.378042234,3.00E-04,0.0114
Jul_2016,5,PHAF,8,REAR,8,1.599441225,0.102531956,0.158,0.948
Jul_2016,5,PHAF,8,SYCA,8,6.962298843,0.332134319,3.00E-04,0.0114
Jul_2016,5,PHAF,8,TRAN,8,5.241353572,0.27240046,2.00E-04,0.009
Jul_2016,5,PHAF,8,TRST,8,8.863578363,0.387672403,3.00E-04,0.0114
Jul_2016,5,REAR,8,SYCA,8,5.322192297,0.275444536,7.00E-04,0.0182
Jul_2016,5,REAR,8,TRAN,8,3.99846709,0.22215598,3.00E-04,0.0114
Jul_2016,5,REAR,8,TRST,8,7.171246134,0.338725746,1.00E-04,0.0055
Jul_2016,5,SYCA,8,TRAN,8,8.550617322,0.379174423,2.00E-04,0.009
Jul_2016,5,SYCA,8,TRST,8,14.85046344,0.514739164,1.00E-04,0.0055
Jul_2016,5,TRAN,8,TRST,8,3.771234571,0.21221005,0.0012,0.0276
Jul_2016,6,AEME,8,COTA,8,4.610131389,0.247721593,0.0019,0.0418
Jul_2016,6,AEME,8,HINI,8,5.151980904,0.269005119,3.00E-04,0.0126
Jul_2016,6,AEME,8,KOEL,8,1.764586223,0.111933558,0.0934,0.864
Jul_2016,6,AEME,8,LOAF,8,3.635306883,0.206138,2.00E-04,0.0104
Jul_2016,6,AEME,8,OUOU,8,1.123137303,0.074266158,0.2764,0.864
Jul_2016,6,AEME,8,PHAF,8,2.894946792,0.171349861,0.0024,0.048
Jul_2016,6,AEME,8,REAR,8,1.690001395,0.107711998,0.1191,0.864
Jul_2016,6,AEME,8,SYCA,8,4.160002238,0.229074985,0.0013,0.0312
Jul_2016,6,AEME,8,TRAN,8,3.88535378,0.217236619,2.00E-04,0.0104
Jul_2016,6,AEME,8,TRST,8,7.286951855,0.342320117,5.00E-04,0.0165
Jul_2016,6,COTA,8,HINI,8,6.048041271,0.301677415,0.0064,0.1024
Jul_2016,6,COTA,8,KOEL,8,3.871823995,0.216644031,0.0077,0.1155
Jul_2016,6,COTA,8,LOAF,8,5.777262127,0.292116375,2.00E-04,0.0104
Jul_2016,6,COTA,8,OUOU,8,3.632715349,0.206021323,0.0118,0.1534
Jul_2016,6,COTA,8,PHAF,8,2.040247115,0.127195491,0.0893,0.864
Jul_2016,6,COTA,8,REAR,8,2.224916764,0.137129626,0.0864,0.864
Jul_2016,6,COTA,8,SYCA,8,7.030741383,0.334307824,0.001,0.025
Jul_2016,6,COTA,8,TRAN,8,7.700475136,0.354852836,2.00E-04,0.0104
Jul_2016,6,COTA,8,TRST,8,12.65364071,0.474743426,5.00E-04,0.0165
Jul_2016,6,HINI,8,KOEL,8,2.762321416,0.164793488,0.0095,0.133
Jul_2016,6,HINI,8,LOAF,8,5.506868124,0.282304063,1.00E-04,0.0055
Jul_2016,6,HINI,8,OUOU,8,5.496420581,0.281919471,5.00E-04,0.0165
Jul_2016,6,HINI,8,PHAF,8,1.750281884,0.11112702,0.1097,0.864
Jul_2016,6,HINI,8,REAR,8,4.879491967,0.258454622,0.0028,0.0532
Jul_2016,6,HINI,8,SYCA,8,5.485723515,0.281525267,7.00E-04,0.0189
Jul_2016,6,HINI,8,TRAN,8,8.331133906,0.373072587,2.00E-04,0.0104
Jul_2016,6,HINI,8,TRST,8,13.94678086,0.499047849,3.00E-04,0.0126
Jul_2016,6,KOEL,8,LOAF,8,2.369778301,0.144765449,0.0029,0.0532
Jul_2016,6,KOEL,8,OUOU,8,1.620283009,0.103729427,0.1129,0.864
Jul_2016,6,KOEL,8,PHAF,8,1.512544815,0.097504622,0.1269,0.864
Jul_2016,6,KOEL,8,REAR,8,1.675078503,0.106862527,0.1135,0.864
Jul_2016,6,KOEL,8,SYCA,8,3.448190164,0.197624518,0.0043,0.0731
Jul_2016,6,KOEL,8,TRAN,8,3.395632957,0.195200311,3.00E-04,0.0126
