REFrank,InstCode,Institution,GPA,pct_foreign_PGs,cite_impact,h_index,graduate_salary,entry_tariff,pct_disab_stud,pct_ADHD_stud,pct_employed_grad,pct_deprived_stud,num_FTEs_submit,pct_phd_faculty,stud_satisfact,expend_per_stud,stud_staff_ratio,career_prospect,univ_income,pctStateSchools,websci_docs
106,0016,Edge Hill University,2.22,.021871204,.79,18,2.044117689,306,.04,.022,.9350000000000001,.421999991,139,.154285714,84,2.881421637,18.53236997,56.99356913,108541,.98,652
108,0077,Staffordshire University,2.2,.264383554,.98,21,2.006249905,268,.08,.036,.84,.437000006,81,.217142857,80,5.953685846,21.55540415,55.11575803,116251,.983,870
112,0087,Glyndwr University,2.15,.5900383,1.1,21,2.303191423,288,.05,.04,.897,.458999991,34,.267605634,79,3.266832903,20.95425132,61.19402985,43884,.991,486
110,0095,Abertay University,2.16,.433734953,1.28,26,1.925675631,325,.08,.043,.884,.347000003,67,.473684211,77,2.087643678,25.2352899,46.82926829,37709,.9360000000000001,661
113,0038,University of Cumbria,2.13,.046632126,.75,12,2.066037655,285,.06,.034,.914,.398000002,27,.116504854,75,4.088371028,17.16655119,58.82946519,73566,.979,243
113,0028,Newman University,2.13,.016528925,.3,9,1.942307591,301,.1,.062,.911,.521000028,23,.25,81,3.609413292,18.01393854,59.44055944,20310,.989,137
115,0078,University of Sunderland,2.12,.662682593,.95,24,2.148550749,298,.05,.017,.871,.43900001,147,.22875817,82,7.045107571,16.88626446,46.63900415,124099,.97,783
116,0027,University of Northampton,2.09,.228941679,.79,22,1.939655066,280,.07,.037,.955,.379999995,94,.253424658,79,3.985085993,16.19684335,53.3260033,101969,.982,706
117,0011,University of Chester,2.08,.175373137,1.05,21,1.917883158,301,.07,.036,.952,.395000011,138,.349514563,84,4.138520609,16.64357579,63.15789474,87807,.976,723
117,0046,University of Worcester,2.08,.067375883,.95,19,1.905963302,297,.08,.044,.9280000000000001,.361000001,105,.257731959,84,5.361132019,21.3595899,49.73432519,72127,.964,358
119,0057,University of Derby,2.07,.127659574,1.12,20,1.960280418,300,.07,.038,.967,.442000002,107,.178571429,81,4.659138255,18.13797218,48.23717949,127365,.978,695
120,0013,York St John University,2.04,.163841814,1.23,15,1.881944537,302,.1,.051,.924,.345999986,68,.333333333,84,4.156733945,21.48072243,51.9379845,49178,.953,317
120,0049,University of Bolton,2.04,.141552508,1.26,24,2.063725471,267,.07,.034,.824,.486999989,49,.328125,79,3.051705171,19.63084756,34.40860215,45106,.994,586
126,0080,University of West London,1.92,.315789461,.6800000000000001,16,2.433333397,250,.05,.029,.949,.421999991,36,.08,76,6.955171745,21.03296719,48.88268156,76865,.962,184
127,0037,Southampton Solent University,1.63,.284090906,2.5,7,1.909999967,293,.08,.052,.876,.36500001,36,.115942029,72,3.367100578,21.20156861,39.7080292,106415,.971,155
109,0009,Bucks New University,2.19,.150684938,.76,13,2.175742626,247,.09,.049,.923,.409000009,24,.1875,74,3.862124772,23.27273422,47.01704545,62211,.984,227
