Test;Test301;;;;;;;;;;;;;;;;;;;;;
Mud;MA;;;;;;;;;;;;;;;Column 1 was misplaced in the outer left position. The backlight quality at this location influenced the processing of these images in a negative way;;;;;;
Duration;;;;;;;;;;;;;;;;;;;;;;
Column;Col1;;;;;;;;;;;;;;;;;;;;;
ClimateDataFile;C:\_data\18_005 slibkolom\Proefbeelden kolommen\Run 3\Test301_MA\Test301_ClimatedataHal3.csv;;;;;;;;;;;;;;;;;;;;;
Time Stamp;C:\_projects\18_005_MudConsolidationColumns\Processing\Branch\10SmallColumns\Source\TFS\TFS_Tubes_v1\TFS_Tubes_col1_Test301.ini;;;;;;;;;;;;;;;;;;;;;
Timestamp;Timestamp [s];ImageNr;Image1;Image2;Image3;Temperature [°C];Relative Humidity [%];Column1 [px];Column1 Valid;Column2 [px];Column2 Valid;Column3 [px];Column3 Valid;;;;;? Z1;;? Z2;;? Z3
27/05/2020 4:41;59400;67;Image20200527-034149_67_65.000.bmp;Image20200527-034149_67_80.000.bmp;Image20200527-034149_67_120.000.bmp;;;18.518.577;TRUE;18.653.087;TRUE;19.133.808;TRUE;;;900;;21.547;;21.576;;21.031
27/05/2020 4:56;60300;68;Image20200527-035649_68_65.000.bmp;Image20200527-035649_68_80.000.bmp;Image20200527-035649_68_120.000.bmp;;;18.536.125;TRUE;18.674.702;TRUE;19.153.538;TRUE;;;900;;17.548;;21.615;;19.730
27/05/2020 5:11;61200;69;Image20200527-041149_69_65.000.bmp;Image20200527-041149_69_80.000.bmp;Image20200527-041149_69_120.000.bmp;;;18.560.853;TRUE;18.695.154;TRUE;19.173.840;TRUE;;;900;;24.728;;20.452;;20.302
27/05/2020 5:26;62100;70;Image20200527-042649_70_65.000.bmp;Image20200527-042649_70_80.000.bmp;Image20200527-042649_70_120.000.bmp;;;18.579.013;TRUE;18.716.372;TRUE;19.193.978;TRUE;;;900;;18.160;;21.218;;20.138
27/05/2020 5:41;63000;71;Image20200527-044149_71_65.000.bmp;Image20200527-044149_71_80.000.bmp;Image20200527-044149_71_120.000.bmp;;;18.599.962;TRUE;18.736.546;TRUE;19.213.405;TRUE;;;900;;20.949;;20.174;;19.427
27/05/2020 5:56;63900;72;Image20200527-045649_72_65.000.bmp;Image20200527-045649_72_80.000.bmp;Image20200527-045649_72_120.000.bmp;;;18.621.640;TRUE;18.756.711;TRUE;19.232.894;TRUE;;;900;;21.678;;20.165;;19.489
27/05/2020 6:11;64800;73;Image20200527-051149_73_65.000.bmp;Image20200527-051149_73_80.000.bmp;Image20200527-051149_73_120.000.bmp;;;18.639.302;TRUE;18.776.243;TRUE;19.252.695;TRUE;;;900;;17.662;;19.532;;19.801
27/05/2020 6:26;65700;74;Image20200527-052649_74_65.000.bmp;Image20200527-052649_74_80.000.bmp;Image20200527-052649_74_120.000.bmp;;;18.663.499;TRUE;18.796.385;TRUE;19.271.027;TRUE;;;900;;24.197;;20.142;;18.332
27/05/2020 6:41;66600;75;Image20200527-054149_75_65.000.bmp;Image20200527-054149_75_80.000.bmp;Image20200527-054149_75_120.000.bmp;;;18.679.301;TRUE;18.815.572;TRUE;19.290.568;TRUE;;;900;;15.802;;19.187;;19.541
27/05/2020 6:56;67500;76;Image20200527-055649_76_65.000.bmp;Image20200527-055649_76_80.000.bmp;Image20200527-055649_76_120.000.bmp;;;18.698.611;TRUE;18.835.021;TRUE;19.309.601;TRUE;;;900;;19.310;;19.449;;19.033
27/05/2020 7:11;68400;77;Image20200527-061149_77_65.000.bmp;Image20200527-061149_77_80.000.bmp;Image20200527-061149_77_120.000.bmp;;;18.718.147;TRUE;18.853.793;TRUE;19.327.430;TRUE;;;900;;19.536;;18.772;;17.829
27/05/2020 7:26;69300;78;Image20200527-062649_78_65.000.bmp;Image20200527-062649_78_80.000.bmp;Image20200527-062649_78_120.000.bmp;;;18.743.259;TRUE;18.872.343;TRUE;19.346.416;TRUE;;;900;;25.112;;18.550;;18.986
27/05/2020 7:41;70200;79;Image20200527-064149_79_65.000.bmp;Image20200527-064149_79_80.000.bmp;Image20200527-064149_79_120.000.bmp;;;18.758.903;TRUE;18.891.179;TRUE;19.362.710;TRUE;;;900;;15.644;;18.836;;16.294
27/05/2020 7:56;71100;80;Image20200527-065649_80_65.000.bmp;Image20200527-065649_80_80.000.bmp;Image20200527-065649_80_120.000.bmp;;;18.775.048;TRUE;18.910.295;TRUE;19.380.027;TRUE;;;900;;16.145;;19.116;;17.317
27/05/2020 8:11;72000;81;Image20200527-071149_81_65.000.bmp;Image20200527-071149_81_80.000.bmp;Image20200527-071149_81_120.000.bmp;;;18.793.502;TRUE;18.928.689;TRUE;19.397.344;TRUE;;;900;;18.454;;18.394;;17.317
27/05/2020 8:26;72900;82;Image20200527-072649_82_65.000.bmp;Image20200527-072649_82_80.000.bmp;Image20200527-072649_82_120.000.bmp;;;18.811.450;TRUE;18.946.727;TRUE;19.414.707;TRUE;;;900;;17.948;;18.038;;17.363
27/05/2020 8:41;73800;83;Image20200527-074149_83_65.000.bmp;Image20200527-074149_83_80.000.bmp;Image20200527-074149_83_120.000.bmp;;;18.830.858;TRUE;18.964.781;TRUE;19.431.866;TRUE;;;900;;19.408;;18.054;;17.159
27/05/2020 8:56;74700;84;Image20200527-075649_84_65.000.bmp;Image20200527-075649_84_80.000.bmp;Image20200527-075649_84_120.000.bmp;;;18.847.589;TRUE;18.981.865;TRUE;19.449.609;TRUE;;;900;;16.731;;17.084;;17.743
27/05/2020 9:11;75600;85;Image20200527-081149_85_65.000.bmp;Image20200527-081149_85_80.000.bmp;Image20200527-081149_85_120.000.bmp;;;18.865.001;TRUE;18.998.567;TRUE;19.466.109;TRUE;;;900;;17.412;;16.702;;16.500
27/05/2020 9:26;76500;86;Image20200527-082649_86_65.000.bmp;Image20200527-082649_86_80.000.bmp;Image20200527-082649_86_120.000.bmp;;;18.884.537;TRUE;19.015.247;TRUE;19.482.221;TRUE;;;900;;19.536;;16.680;;16.112
27/05/2020 9:41;77400;87;Image20200527-084149_87_65.000.bmp;Image20200527-084149_87_80.000.bmp;Image20200527-084149_87_120.000.bmp;;;18.901.757;TRUE;19.032.303;TRUE;19.498.453;TRUE;;;900;;17.220;;17.056;;16.232
27/05/2020 9:56;78300;88;Image20200527-085649_88_65.000.bmp;Image20200527-085649_88_80.000.bmp;Image20200527-085649_88_120.000.bmp;;;18.918.416;TRUE;19.049.910;TRUE;19.514.376;TRUE;;;900;;16.659;;17.607;;15.923
27/05/2020 10:11;79200;89;Image20200527-091149_89_65.000.bmp;Image20200527-091149_89_80.000.bmp;Image20200527-091149_89_120.000.bmp;;;18.936.973;TRUE;19.066.302;TRUE;19.530.314;TRUE;;;900;;18.557;;16.392;;15.938
27/05/2020 10:26;80100;90;Image20200527-092649_90_65.000.bmp;Image20200527-092649_90_80.000.bmp;Image20200527-092649_90_120.000.bmp;;;18.951.235;TRUE;19.082.143;TRUE;19.547.091;TRUE;;;900;;14.262;;15.841;;16.777
27/05/2020 10:41;81000;0;Image20200527-094149_0_65.000.bmp;Image20200527-094149_0_80.000.bmp;Image20200527-094149_0_120.000.bmp;;;18.967.264;TRUE;19.097.313;TRUE;19.562.247;TRUE;;;900;;16.029;;15.170;;15.156
27/05/2020 10:56;81900;1;Image20200527-095649_1_65.000.bmp;Image20200527-095649_1_80.000.bmp;Image20200527-095649_1_120.000.bmp;;;18.984.117;TRUE;19.114.095;TRUE;19.576.078;TRUE;;;900;;16.853;;16.782;;13.831
27/05/2020 11:11;82800;2;Image20200527-101149_2_65.000.bmp;Image20200527-101149_2_80.000.bmp;Image20200527-101149_2_120.000.bmp;;;19.003.178;TRUE;19.130.453;TRUE;19.592.103;TRUE;;;900;;19.061;;16.358;;16.025
27/05/2020 11:26;83700;3;Image20200527-102649_3_65.000.bmp;Image20200527-102649_3_80.000.bmp;Image20200527-102649_3_120.000.bmp;;;19.017.226;TRUE;19.146.424;TRUE;19.607.938;TRUE;;;900;;14.048;;15.971;;15.835
27/05/2020 11:41;84600;4;Image20200527-104149_4_65.000.bmp;Image20200527-104149_4_80.000.bmp;Image20200527-104149_4_120.000.bmp;;;19.034.157;TRUE;19.161.811;TRUE;19.622.304;TRUE;;;900;;16.931;;15.387;;14.366
