,source,target,type,weight,bottleneck_flux,norm_bottleneck_flux
17206,458,1154,Undirected,3,0.0,0.0
17207,1345,1510,Undirected,15,0.0,0.0
17208,698,1159,Undirected,2,0.0,0.0
17209,741,447,Undirected,4,0.0,0.0
17210,187,1636,Undirected,2,0.0,0.0
17211,829,829,Undirected,7,0.0,0.0
17212,635,1469,Undirected,1,0.0,0.0
17213,1346,263,Undirected,1,0.0,0.0
17214,1777,831,Undirected,3,0.0,0.0
17215,195,1774,Undirected,1,0.0,0.0
17216,626,852,Undirected,1,0.0,0.0
17217,1195,1375,Undirected,58,0.0,0.0
17218,1474,1203,Undirected,1,0.0,0.0
17219,1147,709,Undirected,7,0.0,0.0
17220,1681,1254,Undirected,4,0.0,0.0
17221,1673,1650,Undirected,1,0.0,0.0
17222,1162,829,Undirected,1,0.0,0.0
17223,915,1229,Undirected,2,0.0,0.0
17224,1786,100,Undirected,53,0.0,0.0
17225,1438,559,Undirected,3,0.0,0.0
17226,296,703,Undirected,1,0.0,0.0
17227,1611,411,Undirected,2,0.0,0.0
17228,1913,1627,Undirected,1,0.0,0.0
17229,1048,1678,Undirected,2,0.0,0.0
17230,1697,83,Undirected,1,0.0,0.0
17231,561,765,Undirected,4,0.0,0.0
17232,1512,1807,Undirected,2,0.0,0.0
17233,400,485,Undirected,1,0.0,0.0
17234,1375,1511,Undirected,12,0.0,0.0
17235,1517,599,Undirected,20,0.0,0.0
17236,1027,893,Undirected,1,0.0,0.0
17237,520,957,Undirected,2,0.0,0.0
17238,787,1076,Undirected,2,0.0,0.0
17239,1922,1085,Undirected,9,0.0,0.0
17240,148,1524,Undirected,1,0.0,0.0
17241,1499,1974,Undirected,14,0.0,0.0
17242,862,862,Undirected,38,0.0,0.0
17243,1902,1343,Undirected,10,0.0,0.0
17244,516,983,Undirected,1,0.0,0.0
17245,1033,1793,Undirected,1,0.0,0.0
17246,1776,617,Undirected,1,0.0,0.0
17247,1858,731,Undirected,1,0.0,0.0
17248,1988,1357,Undirected,6,0.0,0.0
17249,1561,1607,Undirected,1,0.0,0.0
17250,931,931,Undirected,59,0.0,0.0
17251,1627,1382,Undirected,10,0.0,0.0
17252,1786,620,Undirected,1,0.0,0.0
17253,539,1596,Undirected,2,0.0,0.0
17254,1254,719,Undirected,10,0.0,0.0
17255,1343,1343,Undirected,11,0.0,0.0
17256,1362,1893,Undirected,72,4.2123597739833233e-07,0.36242830495386014
17257,1427,1175,Undirected,1,0.0,0.0
