,ID,label,weight,committor_prob,p_bound,p_unbound,bound,unbound,predicted_transition_state,b_t_u,path_0,path_1,path_2,path_3,path_4,bneck_ens_0,bneck_ens_1,bneck_ens_2,bneck_ens_3,bneck_ens_4,bottleneck_ensemble,run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,full_run_0,full_run_1,full_run_2,full_run_3,full_run_4,full_run_5,bneck_ens_TS_0,num_frames,free_energy,SASA_reps,TS_seeds,scan_seeds,committor_prob_0.4,unbound_0.4,predicted_transition_state_0.4,committor_prob_0.5,unbound_0.5,predicted_transition_state_0.5,committor_prob_0.7,unbound_0.7,predicted_transition_state_0.7,committor_prob_0.6,unbound_0.6,predicted_transition_state_0.6,path+ensemble_0,trim_committor_prob,inxclass_3181,inxclass_1310,inxclass_149,inxclass_1138,inxclass_148,inxclass_1073,inxclass_3403,inxclass_3016,inxclass_344,inxclass_1072,inxclass_1311,inxclass_3010,inxclass_387,modularity_class_2.0,bottleneck,lip_distance,BS_SASA,TPPU_SASA,TPPU_R2_SASA,TPPU_R2_hydrophobes_SASA,TPPU_not_R2_SASA,TPPU_R1_SASA,TPPU_scaffold_SASA,community_name
1806,1806,1806,9.67065309724732e-13,0.07368395800629787,0.926316041993702,0.07368395800629787,False,False,False,N,0,0,1,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,487,24.485956438528557,178.19229125976562,0,0,0.07368395800629787,False,False,0.06825777062074895,False,False,0.0584602174165452,False,False,0.06275165832060363,False,False,0,0.07368395800629787,0,0,0,0,0,0,0,1,0,0,0,1,0,2,False,11.354555130004885,299.330078125,178.19229125976562,84.90213012695312,69.40813446044922,93.29016876220705,40.76974487304688,52.52041625976562,B*
1807,1807,1807,2.474393584347424e-15,0.6874316095029455,0.3125683904970545,0.6874316095029455,False,False,False,N,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,42,30.45422712062236,388.4927978515625,0,0,0.6874316095029455,False,False,0.6336187602000389,False,False,0.5457605820730959,False,True,0.5868110746267344,False,True,0,0.6874316095029455,0,0,0,0,0,0,0,0,0,0,0,0,0,4,False,19.143024444580078,481.3477783203125,388.4927978515625,70.78848266601562,49.404579162597656,317.704345703125,162.37664794921875,155.3276824951172,U
1808,1808,1808,1.6503795751076658e-12,0.6708284477293932,0.3291715522706068,0.6708284477293932,False,False,False,N,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,297,23.95146188423829,295.544677734375,0,0,0.6708284477293932,False,False,0.6215172418487912,False,False,0.5287029341536418,False,True,0.5672923223032688,False,True,0,0.6708284477293932,0,0,0,0,0,0,0,0,0,0,0,0,0,4,False,14.309389114379885,476.0503540039063,295.544677734375,86.22115325927734,65.85405731201172,209.323486328125,111.96046447753906,97.36302947998048,U
1809,1809,1809,1.297783441478636e-05,0.07111370022465217,0.928886299775348,0.07111370022465217,False,False,False,N,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0,1,1,1,0,1365,8.073713776048447,242.3262481689453,0,0,0.07111370022465217,False,False,0.06591176546144269,False,False,0.05642858184516961,False,False,0.060559343020379235,False,False,0,0.07111370022465217,0,0,0,0,0,0,0,0,0,0,0,1,0,2,False,13.628249168395994,342.8149108886719,242.3262481689453,108.58099365234375,92.6147689819336,133.74526977539062,53.71218490600586,80.0330810546875,B*
1810,1810,1810,5.242404254816929e-13,1.0,0.0,1.0,False,True,False,U,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0,160,25.09827206384916,513.5669555664061,0,0,1.0,True,False,1.0,True,False,0.770777161288009,False,False,1.0,True,False,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,True,12.658140182495115,441.7435607910156,513.5669555664061,117.59236145019531,96.52236938476562,395.97467041015625,225.8231506347656,170.15151977539062,U
1811,1811,1811,1.603883635695846e-06,0.3694978688722316,0.6305021311277683,0.3694978688722316,False,False,False,N,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,0,635,10.164528672761467,213.12353515625,0,0,0.3694978688722316,False,False,0.34304165680311793,False,False,0.29324116049932913,False,False,0.31450244324357024,False,False,0,0.3694978688722316,0,0,0,0,0,0,0,0,0,0,0,0,0,6,False,13.961005210876465,345.2608337402344,213.12353515625,57.35175323486328,37.29920196533203,155.7717742919922,78.00595092773438,77.76583862304688,P1
1812,1812,1812,1.585377169046988e-08,0.1010842995774486,0.8989157004225514,0.1010842995774486,False,False,False,N,0,0,0,0,0,0,0,0,0,0,-1,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,74,14.781304478673256,234.0673370361328,0,0,0.1010842995774486,False,False,0.0935716524403489,False,False,0.0801923101782878,False,False,0.08610329077084658,False,False,0,0.1010842995774486,0,0,0,0,0,0,0,1,0,0,0,1,0,2,False,13.220242500305176,412.69708251953125,234.0673370361328,62.728878021240234,41.891395568847656,171.3384552001953,120.46800994873048,50.87044525146485,B*
1813,1813,1813,0.0014225981444868571,0.05793003453256443,0.9420699654674356,0.05793003453256443,False,False,False,N,0,0,0,0,0,0,0,0,0,0,-1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,0,469,3.3767164752625485,189.954345703125,0,0,0.05793003453256443,False,False,0.05368741324561438,False,False,0.04596595605631297,False,False,0.04933242398720904,False,False,0,0.05793003453256443,0,0,1,0,0,1,0,1,0,1,0,1,0,2,False,12.830259323120115,282.8587646484375,189.954345703125,82.87448120117188,73.27226257324219,107.0798797607422,57.58987045288086,49.49000549316406,B*
1814,1814,1814,6.404982157117042e-06,0.10330474769454827,0.8966952523054518,0.10330474769454827,False,False,False,N,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,0,286,8.77988048367915,242.4222717285156,0,0,0.10330474769454827,False,False,0.09577524040631813,False,False,0.08198517629075977,False,False,0.08797922187500933,False,False,1,0.10330474769454827,0,0,0,0,0,0,0,1,0,0,0,1,0,2,True,15.534013748168945,361.33282470703125,242.4222717285156,73.400146484375,54.14232635498047,169.0221405029297,70.00102996826172,99.02112579345705,B*
1815,1815,1815,8.935538673339589e-13,0.6921563396849764,0.30784366031502364,0.6921563396849764,False,False,False,N,0,0,1,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,553,24.565015849407395,403.3645935058594,1,0,0.6921563396849764,False,False,0.6445884156392859,False,False,0.5513217356734736,False,True,0.5907117781996079,False,True,1,0.6921563396849764,0,0,0,0,0,0,0,0,0,0,0,0,0,4,True,13.858853340148926,479.2149963378906,403.3645935058594,120.09123229980469,97.13291931152344,283.2734069824219,151.92312622070312,131.35023498535156,U
