,node_id,traj_idx,frame_idx
521,521,74,5519
522,522,0,3674
523,523,0,3590
524,524,0,6480
525,525,10,4717
526,526,25,7325
527,527,17,5755
528,528,24,3032
529,529,0,571
530,530,2,7459
531,531,80,9237
532,532,24,5120
533,533,32,10748
534,534,0,4394
535,535,81,7271
536,536,0,4670
537,537,18,8780
538,538,2,7753
539,539,0,5553
540,540,82,9182
541,541,0,2490
542,542,16,3259
543,543,0,4310
544,544,8,3385
545,545,41,7340
546,546,25,5255
547,547,40,4310
548,548,0,3758
549,549,32,8521
550,550,8,7712
551,551,7,3287
552,552,48,706
553,553,82,4137
554,554,72,5755
555,555,1,4050
556,556,72,4075
557,557,81,10003
558,558,0,4589
559,559,33,8495
560,560,24,6421
561,561,16,8843
562,562,25,7072
563,563,0,4874
564,564,25,10569
565,565,42,9726
566,566,32,8700
567,567,0,624
568,568,73,731
569,569,33,6635
570,570,24,8098
571,571,0,5745
572,572,0,3928
573,573,82,7031
574,574,16,7960
575,575,24,10306
576,576,8,3861
577,577,24,7797
578,578,24,3423
579,579,8,6734
580,580,2,1950
581,581,16,5722
582,582,16,8918
583,583,81,4528
584,584,8,4529
585,585,0,4290
586,586,32,2170
587,587,1,3282
588,588,2,6298
589,589,16,8101
590,590,2,7059
591,591,19,7965
592,592,24,9855
593,593,16,8017
594,594,24,2791
595,595,28,9827
596,596,0,8415
597,597,0,4698
598,598,24,1480
599,599,3,8676
600,600,0,4689
601,601,33,5405
602,602,24,4797
603,603,8,2419
604,604,32,2737
605,605,25,2330
606,606,25,3685
607,607,84,2549
608,608,24,4868
609,609,72,235
610,610,1,6086
611,611,8,6296
612,612,0,2364
613,613,27,10415
614,614,0,5263
615,615,32,492
616,616,33,6634
617,617,16,8052
618,618,40,9491
619,619,33,2208
620,620,0,3367
621,621,24,9245
622,622,10,5204
623,623,0,6370
624,624,48,1168
625,625,0,280
626,626,24,2465
627,627,16,8870
628,628,0,2388
629,629,73,2089
630,630,0,7758
631,631,8,4086
632,632,25,4332
633,633,0,8078
634,634,24,10288
635,635,16,8698
636,636,24,3722
637,637,57,715
638,638,25,4814
639,639,0,494
640,640,16,7055
641,641,32,5501
642,642,16,5343
643,643,9,7795
644,644,0,7975
645,645,0,7061
646,646,0,2605
647,647,49,456
648,648,25,5080
649,649,8,8721
650,650,0,5154
651,651,8,2966
652,652,25,7436
653,653,0,6291
654,654,36,11037
655,655,32,4181
656,656,8,8662
657,657,24,4991
658,658,44,3105
659,659,16,7006
660,660,16,7406
661,661,24,372
662,662,10,8445
663,663,8,1857
664,664,0,4484
665,665,25,7268
666,666,40,7262
667,667,40,10215
668,668,80,8455
669,669,40,6172
670,670,40,8695
671,671,17,6907
672,672,8,7768
673,673,0,7220
674,674,40,9799
675,675,24,4771
676,676,0,4912
677,677,17,7412
678,678,40,2391
679,679,9,8408
680,680,9,8169
681,681,24,3161
682,682,24,6239
683,683,81,6743
684,684,0,4604
685,685,40,4874
686,686,0,5972
687,687,41,3445
688,688,0,6994
689,689,24,3305
690,690,8,3624
691,691,16,5262
692,692,24,5708
693,693,24,4199
694,694,51,1288
695,695,0,8210
696,696,76,5878
697,697,33,8143
698,698,8,7101
699,699,10,7508
700,700,0,3417
701,701,72,4069
702,702,25,6452
703,703,40,5476
704,704,80,6097
705,705,40,7635
706,706,0,5767
707,707,0,3956
708,708,25,3859
709,709,24,5720
710,710,8,643
711,711,0,603
712,712,16,6276
713,713,40,5542
714,714,40,6761
715,715,33,5554
716,716,0,2847
717,717,25,3458
718,718,9,7807
719,719,0,357
720,720,0,3013
721,721,25,7324
722,722,0,3566
723,723,2,5563
724,724,2,3367
725,725,22,8903
726,726,48,1076
727,727,24,2715
728,728,0,5177
729,729,8,2716
730,730,16,7444
731,731,0,6218
732,732,11,8096
733,733,22,7411
734,734,1,7878
735,735,16,8901
736,736,16,7941
737,737,25,10199
738,738,24,8891
739,739,24,2611
740,740,16,8782
741,741,0,4750
742,742,0,2759
743,743,72,4500
744,744,27,4173
745,745,24,8580
746,746,80,4988
747,747,31,3155
748,748,1,3854
749,749,9,8907
750,750,0,6450
751,751,0,8103
752,752,0,5594
753,753,24,10535
754,754,24,4858
755,755,0,4300
756,756,0,3063
757,757,9,1877
758,758,0,1858
759,759,0,1290
760,760,25,4894
761,761,25,4307
762,762,85,2409
763,763,16,8856
764,764,0,1594
765,765,25,8558
766,766,72,2496
767,767,24,3983
768,768,0,3529
769,769,24,2405
770,770,0,4145
771,771,0,344
772,772,8,2288
773,773,17,8681
774,774,33,3611
775,775,24,6779
776,776,17,7195
777,777,16,8053
778,778,43,10934
779,779,26,9035
780,780,0,1996
781,781,80,1805
782,782,32,3025
783,783,16,1921
784,784,16,2147
785,785,41,2102
786,786,33,2729
787,787,0,3626
788,788,1,7255
789,789,16,8016
790,790,87,5733
791,791,3,5645
792,792,27,3472
793,793,80,10307
794,794,8,2106
795,795,80,1449
796,796,0,8428
797,797,0,5487
798,798,8,3046
799,799,8,2205
800,800,87,139
801,801,33,4989
802,802,32,1480
803,803,24,6847
804,804,2,3794
805,805,0,2332
806,806,32,6835
807,807,32,3705
808,808,16,8909
809,809,41,9979
810,810,0,3152
811,811,24,3059
812,812,0,7484
813,813,0,1920
814,814,0,67
815,815,32,2180
816,816,10,8865
817,817,81,4738
818,818,22,8919
819,819,2,1897
820,820,16,5464
821,821,2,6544
822,822,16,7134
823,823,8,6421
824,824,72,4821
825,825,24,5653
826,826,25,2757
827,827,24,8040
828,828,35,8611
829,829,8,6247
830,830,32,3002
831,831,16,7720
832,832,0,1960
833,833,16,8855
834,834,0,2530
835,835,0,6475
836,836,0,3665
837,837,50,82
838,838,0,2872
839,839,8,4096
840,840,22,8815
841,841,40,4815
842,842,0,6134
843,843,25,6768
844,844,55,1154
845,845,43,2747
846,846,45,2854
847,847,25,2824
848,848,0,6158
849,849,24,3085
850,850,0,2181
851,851,40,5342
852,852,27,4061
853,853,0,1817
854,854,72,1020
855,855,72,2136
856,856,32,2438
857,857,25,7081
858,858,16,8949
859,859,72,3715
860,860,0,3482
861,861,44,10289
862,862,17,8047
863,863,33,2237
864,864,72,3465
865,865,41,4917
866,866,49,920
867,867,72,5906
868,868,16,6374
869,869,24,4772
870,870,32,8597
871,871,8,3357
872,872,80,6821
873,873,24,3924
874,874,0,5700
875,875,10,2706
876,876,16,2408
877,877,0,2813
878,878,0,4746
879,879,32,1632
880,880,24,2543
881,881,0,8641
882,882,12,8695
883,883,0,3430
884,884,0,3627
885,885,1,6663
886,886,22,8125
887,887,0,993
888,888,0,6537
889,889,8,3735
890,890,24,1923
891,891,0,3351
892,892,72,3876
893,893,1,4372
894,894,28,3707
895,895,17,8045
896,896,25,6110
897,897,27,1431
898,898,17,8410
899,899,14,8676
900,900,0,6326
901,901,16,1645
902,902,24,8653
903,903,24,5389
904,904,0,5581
905,905,24,7082
906,906,24,5835
907,907,22,7287
908,908,40,1074
909,909,0,687
910,910,16,8141
911,911,1,2915
912,912,32,8500
913,913,25,2560
914,914,18,7375
915,915,28,4755
916,916,0,4791
917,917,24,3236
918,918,81,8519
919,919,17,2206
920,920,16,8932
921,921,32,8118
922,922,22,8244
923,923,0,4719
924,924,16,7914
925,925,16,7521
926,926,0,8663
927,927,97,2486
928,928,72,1908
929,929,33,4356
930,930,14,8840
931,931,1,2428
932,932,81,4850
933,933,0,6388
934,934,0,7454
935,935,0,5743
936,936,32,9089
937,937,8,7644
938,938,0,7639
939,939,17,8675
940,940,25,8263
941,941,27,6777
942,942,33,6749
943,943,0,3416
