"","metrics","plot","treatment","number","values","refvalues"
"814","CA","BEon","0600kHz","013",48.9485798600001,49.3717774200002
"822","D","BEon","0600kHz","014",0.154022894966376,0.154436472839629
"832","H","BEon","0600kHz","014",20.533000230789,20.510749459266
"842","CA","BEon","0600kHz","014",24.1899365650002,24.75416731
"852","D","BEon","1200kHz","001",0.575683579289594,0.575800461172259
"862","H","BEon","1200kHz","001",31.184750497341,31.174000680446
"872","CA","BEon","1200kHz","001",115.58226109,116.860667975
"882","D","BEon","1200kHz","002",0.600176733221861,0.599911553734806
"892","H","BEon","1200kHz","002",33.526748538017,33.822251349687
"902","CA","BEon","1200kHz","002",60.8498511400001,59.62198558
"911","D","BEon","1200kHz","003",0.565066116561874,0.5640525858692
"921","H","BEon","1200kHz","003",32.762251377106,32.701750397682
"931","CA","BEon","1200kHz","003",52.6537741399999,52.9280985849998
"941","D","BEon","1200kHz","004",0.78933232352248,0.791202765534831
"951","H","BEon","1200kHz","004",33.81274927,33.78075182
"961","CA","BEon","1200kHz","004",194.51020415,193.580928699999
"971","D","BEon","1200kHz","005",0.541015932423446,0.54219682394124
"981","H","BEon","1200kHz","005",31.678250215948,31.574250124395
"991","CA","BEon","1200kHz","005",61.04595568,60.9355008499998
"100","D","BEon","1200kHz","006",0.452966688890421,0.45436121154586
"101","H","BEon","1200kHz","006",28.553500175476,28.557500720024
"102","CA","BEon","1200kHz","006",61.7041903350001,61.4498576499997
"103","D","BEon","1200kHz","007",0.0689975217597609,0.0686722021483448
"104","H","BEon","1200kHz","007",10.715000331402,10.703000247479
"105","CA","BEon","1200kHz","007",3.82884690000002,3.69176771500002
"106","D","BEon","1200kHz","008",0.154303522358424,0.151644675251973
"107","H","BEon","1200kHz","008",14.983999639749,14.968249559403
"108","CA","BEon","1200kHz","008",16.58141278,16.867464085
"109","D","BEon","1200kHz","009",0.431131759454741,0.43155671760664
"110","H","BEon","1200kHz","009",29.68375093,29.91274923
"111","CA","BEon","1200kHz","009",62.6126421249998,63.2537862500001
"112","D","BEon","1200kHz","010",0.586919991106431,0.588371547805796
