rowID,host_Arctos_record,ID_number,ID_type,other_identifier,other_identifier_type,pers_cat_no,sci_name,common_name,state,county,specific_locality,analysis_locality,verbatim_latitude,verbatim_longitude,analysis_lat,analysis_lon,verbatim_elev,coll_date,coll_day,coll_month,coll_year,collecting_event_ID,tissue_type,PCR_pos_01,Haem_01,Plas_01,H_haplo1,H_haplo2,H_haplo3,P_haplo1,H_count,P_count,haplotype_count,coinfection_01,novel_01,novel_count,novel_haplo_name,micro_pos_01,micro_num_infected_HP,micro_num_infected_total,micro_num_screened,micro_HP_parasitemia_percent,micro_total_parasitemia_percent,rgbif_elev,analysis_elev,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,tempPC1,tempPC2,precipPC1,precipPC2
151,NA,272132684,band number,X016J3,GRVI ID ,NA,Vireo vicinior,gray vireo,New Mexico,Socorro,Cottonwood,Sepultura Flats,34.2674,-106.64567,34.2674,-106.64567,NA,7/16/2018,16,7,2018,NA,whole blood,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,0,10000,NA,NA,1773,1773,12.4125,17.975,46.08974,807.13617,32.7,-6.3,39,21.7,7.66667,22.43333,2.58333,293,61,9,70.21016,156,33,130,41,-1.265827945,-0.192859751,-0.991899486,-0.699754953
155,NA,272132406,band number,031M,GRVI ID ,NA,Vireo vicinior,gray vireo,New Mexico,Socorro,Sepultura Flats,Sepultura Flats,34.27288,-106.63336,34.27288,-106.63336,NA,5/19/2018,19,5,2018,NA,whole blood,1,1,0,VIRVIC01,NA,NA,NA,1,0,1,0,1,1,VIRVIC01,1,226,227,10000,2.26,2.27,1797,1797,12.39167,17.85,46.00516,805.89258,32.6,-6.2,38.8,21.66667,7.65,22.41667,2.6,296,61,10,69.14566,156,34,130,41,-1.212165403,-0.288751978,-0.816347088,-0.559300624
186,NA,272132467,band number,044M,GRVI ID ,NA,Vireo vicinior,gray vireo,New Mexico,Socorro,Sepultura Flats,Sepultura Flats,34.3068,-106.60637,34.3068,-106.60637,NA,5/30/2018,30,5,2018,NA,whole blood,1,1,0,VIRVIC01,NA,NA,NA,1,0,1,0,1,1,VIRVIC01,1,90,90,10000,0.9,0.9,1918,1918,11.79583,16.79167,45.01788,779.17633,31.4,-5.9,37.3,20.78333,7.01667,21.55,2.4,331,67,11,68.38584,174,40,146,49,-0.213240606,-1.272120846,0.71665487,-0.904741557
187,NA,272132476,band number,045F,GRVI ID ,NA,Vireo vicinior,gray vireo,New Mexico,Socorro,Sepultura Flats,Sepultura Flats,34.27491,-106.62832,34.27491,-106.62832,NA,6/19/2018,19,6,2018,NA,whole blood,1,1,0,VIRVIC01,NA,NA,NA,1,0,1,0,1,1,VIRVIC01,1,86,87,10000,0.86,0.87,1797,1797,12.35417,17.70833,45.75797,804.3446,32.5,-6.2,38.7,21.6,7.61667,22.35,2.56667,296,61,10,69.14566,156,34,130,41,-1.096640758,-0.326108263,-0.816347088,-0.559300624
189,NA,272132484,band number,045M,GRVI ID ,NA,Vireo vicinior,gray vireo,New Mexico,Socorro,Sepultura Flats,Sepultura Flats,34.27491,-106.62832,34.27491,-106.62832,NA,7/7/2018,7,7,2018,NA,whole blood,1,1,0,VIRVIC01,NA,NA,NA,1,0,1,0,1,1,VIRVIC01,1,98,103,10000,0.98,1.03,1797,1797,12.35417,17.70833,45.75797,804.3446,32.5,-6.2,38.7,21.6,7.61667,22.35,2.56667,296,61,10,69.14566,156,34,130,41,-1.096640758,-0.326108263,-0.816347088,-0.559300624
190,NA,272132485,band number,004M,GRVI ID ,NA,Vireo vicinior,gray vireo,New Mexico,Socorro,Cottonwood/Sepultura,Sepultura Flats,34.26907,-106.63374,34.26907,-106.63374,NA,7/31/2018,31,7,2018,NA,whole blood,1,1,0,VIRVIC01,NA,NA,NA,1,0,1,0,1,1,VIRVIC01,NA,NA,NA,NA,NA,NA,1774,1774,12.39167,17.85,46.00516,805.89258,32.6,-6.2,38.8,21.66667,7.65,22.41667,2.6,296,61,10,69.14566,156,34,130,41,-1.212165403,-0.288751978,-0.816347088,-0.559300624
192,NA,272132492,band number,052M,GRVI ID ,NA,Vireo vicinior,gray vireo,New Mexico,Socorro,Cottonwood,Sepultura Flats,34.26473,-106.6522,34.26473,-106.6522,NA,5/5/2018,5,5,2018,NA,whole blood,1,1,0,VIRVIC01,NA,NA,NA,1,0,1,0,1,1,VIRVIC01,1,59,68,10000,0.59,0.68,1748,1748,12.52917,18.125,46.11959,811.73346,32.9,-6.4,39.3,21.86667,7.78333,22.6,2.63333,288,60,9,69.30302,152,33,127,40,-1.418411319,0.014461896,-1.190788885,-0.525370935
193,NA,272132626,band number,NA,NA,NA,Vireo vicinior,gray vireo,New Mexico,Socorro,Sepultura Flats,Sepultura Flats,NA,NA,34.2686,-106.6336,NA,5/9/2018,9,5,2018,NA,whole blood,1,1,0,VIRVIC01,NA,NA,NA,1,0,1,0,1,1,VIRVIC01,1,214,214,10000,2.14,2.14,1771,1771,12.39167,17.85,46.00516,805.89258,32.6,-6.2,38.8,21.66667,7.65,22.41667,2.6,296,61,10,69.14566,156,34,130,41,-1.212165403,-0.288751978,-0.816347088,-0.559300624
195,NA,272132632,band number,NA,NA,NA,Vireo vicinior,gray vireo,New Mexico,Socorro,Sepultura Flats,Sepultura Flats,34.27999,-106.62162,34.27999,-106.62162,NA,5/14/2018,14,5,2018,NA,whole blood,1,1,0,VIRVIC01,NA,NA,NA,1,0,1,0,1,1,VIRVIC01,1,80,99,10000,0.8,0.99,1810,1810,12.21667,17.45,45.56136,797.80762,32.2,-6.1,38.3,21.4,7.48333,22.15,2.53333,302,62,10,68.74798,159,35,132,43,-0.868505995,-0.584610744,-0.569240114,-0.590926465
196,NA,272132633,band number,NA,NA,NA,Vireo vicinior,gray vireo,New Mexico,Socorro,Sepultura Flats,Sepultura Flats,34.30756,-106.61111,34.30756,-106.61111,NA,5/15/2018,15,5,2018,NA,whole blood,1,1,0,VIRVIC01,NA,NA,NA,1,0,1,0,1,1,VIRVIC01,1,153,153,10000,1.53,1.53,1887,1887,12.05833,17.03333,45.18126,788.60303,31.8,-5.9,37.7,21.15,7.3,21.9,2.51667,314,64,11,68.28707,165,38,138,45,-0.560049436,-0.94809018,0.04466644,-0.650173004
197,NA,272132634,band number,NA,NA,NA,Vireo vicinior,gray vireo,New Mexico,Socorro,Sepultura Flats,Sepultura Flats,NA,NA,34.2686,-106.6336,NA,5/15/2018,15,5,2018,NA,whole blood,1,1,0,VIRVIC01,NA,NA,NA,1,0,1,0,1,1,VIRVIC01,1,74,117,10000,0.74,1.17,1771,1771,12.39167,17.85,46.00516,805.89258,32.6,-6.2,38.8,21.66667,7.65,22.41667,2.6,296,61,10,69.14566,156,34,130,41,-1.212165403,-0.288751978,-0.816347088,-0.559300624
198,NA,272132640,band number,NA,NA,NA,Vireo vicinior,gray vireo,New Mexico,Socorro,Montoso,Sepultura Flats,NA,NA,34.2686,-106.6336,NA,5/19/2018,19,5,2018,NA,whole blood,1,1,0,VIRVIC01,NA,NA,NA,1,0,1,0,1,1,VIRVIC01,1,73,76,10000,0.73,0.76,1771,1771,12.39167,17.85,46.00516,805.89258,32.6,-6.2,38.8,21.66667,7.65,22.41667,2.6,296,61,10,69.14566,156,34,130,41,-1.212165403,-0.288751978,-0.816347088,-0.559300624
199,NA,272132641,band number,NA,NA,NA,Vireo vicinior,gray vireo,New Mexico,Socorro,Montoso,Sepultura Flats,NA,NA,34.2686,-106.6336,NA,5/19/2018,19,5,2018,NA,whole blood,1,1,0,VIRVIC01,NA,NA,NA,1,0,1,0,1,1,VIRVIC01,1,87,87,10000,0.87,0.87,1771,1771,12.39167,17.85,46.00516,805.89258,32.6,-6.2,38.8,21.66667,7.65,22.41667,2.6,296,61,10,69.14566,156,34,130,41,-1.212165403,-0.288751978,-0.816347088,-0.559300624
