ID_pair;KDE;Factor;Level;Difference
H6_2016;KDE50;OSO;Rocky;-0,01076601
A6_2016;KDE50;OSO;Rocky;NA
H10_2017;KDE50;OSO;Rocky;0,779260536
A2_2017;KDE50;OSO;Rocky;0
G2_2018;KDE50;OSO;Rocky;0,00962711
H4_2019;KDE50;OSO;Rocky;-0,540911288
H11_2018;KDE99;OSO;Crop;0,727832936
H4_2018;KDE99;OSO;Crop;0,576125797
G3_2018;KDE99;OSO;Crop;0,116398274
G4_2019;KDE99;OSO;Crop;0,050083486
H10_2019;KDE99;OSO;Crop;0,063028961
G2_2019;KDE99;OSO;Crop;0,011878809
D15_2020;KDE99;OSO;Crop;0,128220803
HA17_2018;KDE99;OSO;Crop;0,029911433
HA12_2019;KDE99;OSO;Crop;-0,004152456
HA13_2020;KDE99;OSO;Crop;0,06766239
HA11_2019;KDE99;OSO;Crop;0,093552167
H11_2019;KDE99;OSO;Crop;0,796780408
H7_2020;KDE99;OSO;Crop;-0,001148923
H10_2020;KDE99;OSO;Crop;1,938768809
A4_2020;KDE99;OSO;Crop;0,911087205
A6_2020_1;KDE99;OSO;Crop;0,16272277
A6_2020_2;KDE99;OSO;Crop;1,140143841
H6_2021;KDE99;OSO;Crop;0,315013384
HA17_2020;KDE99;OSO;Crop;0,000316422
HA1_2020;KDE99;OSO;Crop;0,004874779
HA9_2020;KDE99;OSO;Crop;0,03250173
G2_2022;KDE99;OSO;Crop;0,019061214
A6_2021;KDE99;OSO;Crop;0,186744745
A2_2021;KDE99;OSO;Crop;0,071924719
H10_2022;KDE99;OSO;Crop;1,138663558
HA15_2022;KDE99;OSO;Crop;0,201832489
H4_2016;KDE99;OSO;Crop;0,657538929
G2_2016;KDE99;OSO;Crop;0,07560098
H1_2016;KDE99;OSO;Crop;0,163510522
H6_2016;KDE99;OSO;Crop;0,326723556
A6_2016;KDE99;OSO;Crop;1,051442869
H10_2017;KDE99;OSO;Crop;2,786669462
A2_2017;KDE99;OSO;Crop;1,17979428
G2_2018;KDE99;OSO;Crop;0,049593178
H4_2019;KDE99;OSO;Crop;0,582189423
H11_2018;KDE99;OSO;Forest;-11,96768745
H4_2018;KDE99;OSO;Forest;-2,161053938
G3_2018;KDE99;OSO;Forest;-12,05513057
G4_2019;KDE99;OSO;Forest;5,339442251
H10_2019;KDE99;OSO;Forest;-4,649601418
G2_2019;KDE99;OSO;Forest;-12,4162462
D15_2020;KDE99;OSO;Forest;-2,810536977
HA17_2018;KDE99;OSO;Forest;-1,600075275
HA12_2019;KDE99;OSO;Forest;-3,341816754
HA13_2020;KDE99;OSO;Forest;10,45700813
HA11_2019;KDE99;OSO;Forest;3,503912016
H11_2019;KDE99;OSO;Forest;-11,09929905
H7_2020;KDE99;OSO;Forest;14,18718763
H10_2020;KDE99;OSO;Forest;0,299514986
A4_2020;KDE99;OSO;Forest;9,573230303
A6_2020_1;KDE99;OSO;Forest;-4,918198071
A6_2020_2;KDE99;OSO;Forest;-11,93379306
H6_2021;KDE99;OSO;Forest;23,69476272
HA17_2020;KDE99;OSO;Forest;8,08271612
HA1_2020;KDE99;OSO;Forest;16,82258622
HA9_2020;KDE99;OSO;Forest;4,456461694
G2_2022;KDE99;OSO;Forest;-3,560353928
A6_2021;KDE99;OSO;Forest;-6,025845331
A2_2021;KDE99;OSO;Forest;0,084091118
H10_2022;KDE99;OSO;Forest;-3,258399892
HA15_2022;KDE99;OSO;Forest;-0,001839985
H4_2016;KDE99;OSO;Forest;-3,550478179
G2_2016;KDE99;OSO;Forest;-6,570443084
H1_2016;KDE99;OSO;Forest;-8,985041055
H6_2016;KDE99;OSO;Forest;-1,516199107
A6_2016;KDE99;OSO;Forest;-17,75474315
H10_2017;KDE99;OSO;Forest;-7,090310335
A2_2017;KDE99;OSO;Forest;-7,311894502
G2_2018;KDE99;OSO;Forest;-14,38804758
H4_2019;KDE99;OSO;Forest;-8,220247185
H11_2018;KDE99;OSO;Open;7,929807723
H4_2018;KDE99;OSO;Open;1,975111417
G3_2018;KDE99;OSO;Open;11,41751799
G4_2019;KDE99;OSO;Open;-5,040627941
H10_2019;KDE99;OSO;Open;0,219839046
G2_2019;KDE99;OSO;Open;11,52946865
D15_2020;KDE99;OSO;Open;2,498260339
HA17_2018;KDE99;OSO;Open;-1,609552306
HA12_2019;KDE99;OSO;Open;-1,352208078
HA13_2020;KDE99;OSO;Open;-9,270892828
HA11_2019;KDE99;OSO;Open;-8,919988901
H11_2019;KDE99;OSO;Open;9,017312753
H7_2020;KDE99;OSO;Open;3,161304711
H10_2020;KDE99;OSO;Open;2,776668346
A4_2020;KDE99;OSO;Open;-10,94468851
A6_2020_1;KDE99;OSO;Open;4,628518888
A6_2020_2;KDE99;OSO;Open;10,42191521
H6_2021;KDE99;OSO;Open;-12,0619694
HA17_2020;KDE99;OSO;Open;-1,630544251
HA1_2020;KDE99;OSO;Open;10,51914355
HA9_2020;KDE99;OSO;Open;1,127157056
G2_2022;KDE99;OSO;Open;5,825391203
A6_2021;KDE99;OSO;Open;5,620300986
A2_2021;KDE99;OSO;Open;-0,65213633
H10_2022;KDE99;OSO;Open;6,214920303
HA15_2022;KDE99;OSO;Open;-5,657289075
H4_2016;KDE99;OSO;Open;1,321950931
G2_2016;KDE99;OSO;Open;5,269152166
H1_2016;KDE99;OSO;Open;8,734825055
H6_2016;KDE99;OSO;Open;4,928466484
A6_2016;KDE99;OSO;Open;16,3599986
H10_2017;KDE99;OSO;Open;8,323806362
A2_2017;KDE99;OSO;Open;5,417188297
G2_2018;KDE99;OSO;Open;12,12460494
H4_2019;KDE99;OSO;Open;7,375512125
H11_2018;KDE99;OSO;Urban;2,04353918
H4_2018;KDE99;OSO;Urban;0,613428377
G3_2018;KDE99;OSO;Urban;0,236262407
G4_2019;KDE99;OSO;Urban;-0,353481588
H10_2019;KDE99;OSO;Urban;1,333052402
G2_2019;KDE99;OSO;Urban;0,824460017
D15_2020;KDE99;OSO;Urban;0,178144795
HA17_2018;KDE99;OSO;Urban;-0,225655496
HA12_2019;KDE99;OSO;Urban;-0,182151885
HA13_2020;KDE99;OSO;Urban;0,212307566
HA11_2019;KDE99;OSO;Urban;2,607816327
H11_2019;KDE99;OSO;Urban;0,426630978
H7_2020;KDE99;OSO;Urban;-2,228449005
H10_2020;KDE99;OSO;Urban;-6,725438636
A4_2020;KDE99;OSO;Urban;0,426624196
