ID_pair;Percentage;KDE;Indice
A6_2020_1;0.745412767838214;KDE50;SI
A6_2020_2;0.24851860870326;KDE50;SI
H6_2021;0.57179485744053;KDE50;SI
HA17_2020;0.725494796509832;KDE50;SI
HA1_2020;0.198058030668117;KDE50;SI
HA9_2020;0.674764165476451;KDE50;SI
G2_2022;0.444438052704565;KDE50;SI
A6_2021;0.688339112523824;KDE50;SI
A2_2021;0.671297163249468;KDE50;SI
H10_2022;0.649469670388021;KDE50;SI
HA15_2022;0.551824649559487;KDE50;SI
H4_2016;0.706816683162836;KDE50;SI
G2_2016;0.523212894347028;KDE50;SI
H1_2016;0.430398664700144;KDE50;SI
H6_2016;0.524696474269071;KDE50;SI
A6_2016;0.503712350672833;KDE50;SI
H10_2017;0.230071902013367;KDE50;SI
A2_2017;0.218858604009071;KDE50;SI
G2_2018;0.468393995300377;KDE50;SI
H4_2019;0.24596969189879;KDE50;SI
H11_2018;0.928433225706983;KDE99;TI
H4_2018;0.989047678676861;KDE99;TI
G3_2018;0.748614455051898;KDE99;TI
G4_2019;0.850289391551542;KDE99;TI
H10_2019;0.968112063844646;KDE99;TI
G2_2019;0.946450974703862;KDE99;TI
D15_2020;0.991249495946503;KDE99;TI
HA17_2018;0.902919744458415;KDE99;TI
HA12_2019;0.887737908898638;KDE99;TI
HA13_2020;0.926062499081298;KDE99;TI
HA11_2019;0.964443777728238;KDE99;TI
H11_2019;0.923630072750316;KDE99;TI
H7_2020;0.957757411509831;KDE99;TI
H10_2020;0.980236216302012;KDE99;TI
A4_2020;0.889783053035086;KDE99;TI
A6_2020_1;0.94671697032554;KDE99;TI
A6_2020_2;0.956879258733918;KDE99;TI
H6_2021;0.938747536573832;KDE99;TI
HA17_2020;0.943540505673163;KDE99;TI
HA1_2020;0.898395786754064;KDE99;TI
HA9_2020;0.931400516704008;KDE99;TI
G2_2022;0.962558970061886;KDE99;TI
A6_2021;0.945175634829917;KDE99;TI
A2_2021;0.956426349660338;KDE99;TI
H10_2022;0.963970767056566;KDE99;TI
HA15_2022;0.937619065442207;KDE99;TI
H4_2016;0.990179364894764;KDE99;TI
G2_2016;0.992078620523513;KDE99;TI
H1_2016;0.931258781989435;KDE99;TI
