ID_pair;KDE;Indice;Percentage;SizeKDE_adult;Sex_Juvenile;Region;Type_indep
G2_2018;KDE50;SI;0,538151045;11066541,04;Female;Massif_Central;Late
H4_2019;KDE50;SI;0,367939819;29231951,47;Female;Massif_Central;Early
H11_2018;KDE50;TI;0,983088112;5321632,328;Female;Massif_Central;Early
H4_2018;KDE50;TI;0,979353257;29231951,47;Male;Massif_Central;Early
G3_2018;KDE50;TI;0,669083893;13795497,85;Female;Massif_Central;Late
G4_2019;KDE50;TI;0,836164135;19719570,8;Male;Massif_Central;Late
H10_2019;KDE50;TI;0,918221015;9019360,66;Male;Massif_Central;Late
G2_2019;KDE50;TI;0,93803809;11066541,04;Male;Massif_Central;Late
D15_2020;KDE50;TI;0,966443115;11152347,28;Female;Alps;Early
HA17_2018;KDE50;TI;0,789233308;4376308,995;Male;Alps;Early
HA12_2019;KDE50;TI;0,895068004;6475393,912;Female;Alps;Late
HA13_2020;KDE50;TI;0,864852872;3563904,618;Male;Alps;Late
HA11_2019;KDE50;TI;0,915311903;6895303,449;Female;Alps;Early
H11_2019;KDE50;TI;0,962073273;5321632,328;Male;Massif_Central;Early
H7_2020;KDE50;TI;0,918104066;13164468,54;Female;Massif_Central;Early
H10_2020;KDE50;TI;0,924814994;9019360,66;Female;Massif_Central;Early
A4_2020;KDE50;TI;0,843736186;21324574,62;Male;Massif_Central;Early
A6_2020_1;KDE50;TI;0,898983893;6455357,583;Female;Massif_Central;Early
A6_2020_2;KDE50;TI;0,886396455;6455357,583;Female;Massif_Central;Early
