ID_pair;KDE;Period_num;Factor;Level;Difference
H4_2016;KDE99;1;OSO;Crop;1,260648661
H4_2018;KDE99;1;OSO;Crop;1,260648661
H4_2019;KDE99;1;OSO;Crop;1,260648661
A2_2017;KDE99;1;OSO;Crop;2,278442813
A2_2021;KDE99;1;OSO;Crop;2,278442813
H7_2020;KDE99;1;OSO;Crop;0,291444878
HA9_2020;KDE99;1;OSO;Crop;0,305678567
D15_2020;KDE99;1;OSO;Crop;0,287677294
G4_2019;KDE99;1;OSO;Forest;14,85835545
H11_2018;KDE99;1;OSO;Forest;-29,67800418
H11_2019;KDE99;1;OSO;Forest;-41,60461596
H10_2017;KDE99;1;OSO;Forest;2,98321069
H10_2019;KDE99;1;OSO;Forest;-19,55960881
H10_2020;KDE99;1;OSO;Forest;-2,182183712
H10_2022;KDE99;1;OSO;Forest;-0,150199537
G2_2016;KDE99;1;OSO;Forest;-34,23005045
G2_2018;KDE99;1;OSO;Forest;-37,07520645
G2_2019;KDE99;1;OSO;Forest;-47,20101558
G2_2022;KDE99;1;OSO;Forest;-30,82698829
HA17_2018;KDE99;1;OSO;Forest;5,345952635
HA17_2020;KDE99;1;OSO;Forest;11,59417007
HA13_2020;KDE99;1;OSO;Forest;39,56057361
HA12_2019;KDE99;1;OSO;Forest;15,17713094
H1_2016;KDE99;1;OSO;Forest;-15,70873393
H6_2016;KDE99;1;OSO;Forest;-32,95872742
H6_2021;KDE99;1;OSO;Forest;38,0238675
HA11_2019;KDE99;1;OSO;Forest;13,44815756
A6_2016;KDE99;1;OSO;Forest;-31,05966607
A6_2020_1;KDE99;1;OSO;Forest;-25,32467466
A6_2020_2;KDE99;1;OSO;Forest;-13,55749164
A6_2021;KDE99;1;OSO;Forest;-14,27757444
G3_2018;KDE99;1;OSO;Forest;-16,89394394
HA1_2020;KDE99;1;OSO;Forest;21,88472775
HA15_2022;KDE99;1;OSO;Forest;9,354974915
A4_2020;KDE99;1;OSO;Forest;2,047706691
H4_2016;KDE99;1;OSO;Forest;-3,73672907
H4_2018;KDE99;1;OSO;Forest;-11,27015527
H4_2019;KDE99;1;OSO;Forest;-25,44676625
A2_2017;KDE99;1;OSO;Forest;-9,880472156
A2_2021;KDE99;1;OSO;Forest;-20,62900262
H7_2020;KDE99;1;OSO;Forest;16,78669427
HA9_2020;KDE99;1;OSO;Forest;11,70922524
D15_2020;KDE99;1;OSO;Forest;-10,42884421
G4_2019;KDE99;1;OSO;Open;-14,11049382
H11_2018;KDE99;1;OSO;Open;23,0817599
H11_2019;KDE99;1;OSO;Open;33,63315034
H10_2017;KDE99;1;OSO;Open;44,02013821
H10_2019;KDE99;1;OSO;Open;10,03463097
H10_2020;KDE99;1;OSO;Open;36,41199572
H10_2022;KDE99;1;OSO;Open;22,47073414
G2_2016;KDE99;1;OSO;Open;33,34356777
G2_2018;KDE99;1;OSO;Open;35,20818978
G2_2019;KDE99;1;OSO;Open;46,61606787
G2_2022;KDE99;1;OSO;Open;44,25676649
HA17_2018;KDE99;1;OSO;Open;-7,759807861
HA17_2020;KDE99;1;OSO;Open;-9,896824455
HA13_2020;KDE99;1;OSO;Open;-16,8568223
HA12_2019;KDE99;1;OSO;Open;1,899337418
H1_2016;KDE99;1;OSO;Open;13,59339193
H6_2016;KDE99;1;OSO;Open;31,07470941
H6_2021;KDE99;1;OSO;Open;-5,491062519
HA11_2019;KDE99;1;OSO;Open;-18,00485866
A6_2016;KDE99;1;OSO;Open;28,99425514
A6_2020_1;KDE99;1;OSO;Open;23,72600819
A6_2020_2;KDE99;1;OSO;Open;11,49208071
A6_2021;KDE99;1;OSO;Open;12,23802336
G3_2018;KDE99;1;OSO;Open;15,89652995
HA1_2020;KDE99;1;OSO;Open;12,56026323
HA15_2022;KDE99;1;OSO;Open;-12,34751578
A4_2020;KDE99;1;OSO;Open;-3,852210664
H4_2016;KDE99;1;OSO;Open;15,83032183
H4_2018;KDE99;1;OSO;Open;29,08324302
H4_2019;KDE99;1;OSO;Open;21,18348168
A2_2017;KDE99;1;OSO;Open;6,424988472
A2_2021;KDE99;1;OSO;Open;17,44354744
H7_2020;KDE99;1;OSO;Open;21,40402969
HA9_2020;KDE99;1;OSO;Open;8,793961877
D15_2020;KDE99;1;OSO;Open;9,932216352
G4_2019;KDE99;1;OSO;Urban;-0,810220718
H11_2018;KDE99;1;OSO;Urban;4,271629271
H11_2019;KDE99;1;OSO;Urban;5,109562847
H10_2017;KDE99;1;OSO;Urban;-30,01383242
H10_2019;KDE99;1;OSO;Urban;5,941371796
H10_2020;KDE99;1;OSO;Urban;-20,86624972
H10_2022;KDE99;1;OSO;Urban;-18,72009924
G2_2016;KDE99;1;OSO;Urban;0,79570495
G2_2018;KDE99;1;OSO;Urban;1,776238939
G2_2019;KDE99;1;OSO;Urban;0,494169986
G2_2022;KDE99;1;OSO;Urban;-13,3410227
HA17_2018;KDE99;1;OSO;Urban;0,314465409
HA17_2020;KDE99;1;OSO;Urban;0,283107616
HA13_2020;KDE99;1;OSO;Urban;0,336002288
