site,sample,pcr1,pcr2,pcr3,pcr4,pcr5,pcr6,Big_Lagoon,Davis_Lake,Eel_River_Estuary_Preserve,HBNWR_SCU_North,HBNWR_SCU_South,Lake_Earl,Martin_Slough_,Ocean_Ranch,Salt_River,Stone_Lagoon,Ten_Mile_River,Tillas_Slough
153,2,1,,,,,,1,0,0,0,0,0,0,0,0,0,0,0
154,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
154,2,1,,,,,,1,0,0,0,0,0,0,0,0,0,0,0
155,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
155,2,1,,,,,,1,0,0,0,0,0,0,0,0,0,0,0
156,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
156,2,0,,,,,,1,0,0,0,0,0,0,0,0,0,0,0
157,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
157,2,0,,,,,,1,0,0,0,0,0,0,0,0,0,0,0
158,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
158,2,1,,,,,,1,0,0,0,0,0,0,0,0,0,0,0
159,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
159,2,1,,,,,,1,0,0,0,0,0,0,0,0,0,0,0
160,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
160,2,1,,,,,,1,0,0,0,0,0,0,0,0,0,0,0
161,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
161,2,1,,,,,,1,0,0,0,0,0,0,0,0,0,0,0
162,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
162,2,0,,,,,,1,0,0,0,0,0,0,0,0,0,0,0
163,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
163,2,0,,,,,,1,0,0,0,0,0,0,0,0,0,0,0
164,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
164,2,0,,,,,,1,0,0,0,0,0,0,0,0,0,0,0
165,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
165,2,0,,,,,,1,0,0,0,0,0,0,0,0,0,0,0
166,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
166,2,0,,,,,,1,0,0,0,0,0,0,0,0,0,0,0
167,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
167,2,1,,,,,,1,0,0,0,0,0,0,0,0,0,0,0
