cross,cross_larval_env,pop_pairing_type,block,cage,obs,comb_type,comb,total,am_pop1,am_pop2,dm_pop1F_pop2M,dm_pop2F_pop1M
3SC x 3CC,salt x corn,between,3.3,G,IG,same,same_r,20,11,3,2,4
1SC x 2SC,salt x salt,within,3.4,A,TB,same,same_b,20,3,4,8,5
1SC x 1CC,salt x corn,between,3.4,B,TB,diff,diff_r,20,9,4,6,1
1CC x 2CC,corn x corn,within,3.4,C,TB,diff,diff_b,20,4,6,4,6
4SC x 4CC,salt x corn,between,3.4,D,IG,diff,diff_b,20,6,9,2,3
7SC x 7CC,salt x corn,between,3.4,E,IG,same,same_r,21,4,5,7,5
5CC x 6CC,corn x corn,within,3.4,F,IG,same,same_b,20,4,5,6,5
5SC x 6SC,salt x salt,within,3.4,G,IG,diff,diff_r,20,9,5,3,3
1CC x 2CC,corn x corn,within,4.1,A,TB,diff,diff_r,18,5,5,6,2
1SC x 1CC,salt x corn,between,4.1,B,TB,diff,diff_b,20,8,3,6,3
1SC x 2SC,salt x salt,within,4.1,C,TB,same,same_r,20,3,4,6,7
7SC x 7CC,salt x corn,between,4.1,D,IG,same,same_b,21,5,3,3,10
5SC x 6SC,salt x salt,within,4.1,E,IG,diff,diff_b,20,6,3,7,4
5CC x 6CC,corn x corn,within,4.1,F,IG,same,same_r,20,4,4,5,7
4SC x 4CC,salt x corn,between,4.1,G,IG,diff,diff_r,20,4,5,7,4
3SC x 3CC,salt x corn,between,4.2,A,IG,same,same_b,19,9,2,2,6
6SC x 6CC,salt x corn,between,4.2,B,IG,diff,diff_b,20,4,7,4,5
3SC x 4SC,salt x salt,within,4.2,C,IG,same,same_r,20,6,6,2,6
5SC x 6SC,salt x salt,within,4.2,D,TB,same,same_b,20,3,7,5,5
7SC x 7CC,salt x corn,between,4.2,E,TB,diff,diff_r,20,4,4,7,5
4SC x 4CC,salt x corn,between,4.2,F,TB,same,same_r,20,6,3,5,6
5CC x 6CC,corn x corn,within,4.2,G,TB,diff,diff_b,20,5,4,6,5
5SC x 5CC,salt x corn,between,4.3,A,TB,diff,diff_b,20,3,10,2,5
3CC x 4CC,corn x corn,within,4.3,B,TB,same,same_r,19,4,6,3,6
2SC x 2CC,salt x corn,between,4.3,C,TB,same,same_b,20,4,6,7,3
1CC x 2CC,corn x corn,within,4.3,D,IG,same,same_b,20,2,10,4,4
1SC x 1CC,salt x corn,between,4.3,E,IG,same,same_r,20,6,3,8,3
1SC x 2SC,salt x salt,within,4.3,F,IG,diff,diff_r,20,5,3,5,7
3CC x 4CC,corn x corn,within,4.4,A,IG,diff,diff_r,20,3,5,9,3
2SC x 2CC,salt x corn,between,4.4,B,IG,diff,diff_b,20,2,10,1,7
5SC x 5CC,salt x corn,between,4.4,C,IG,same,same_r,19,3,7,4,5
6SC x 6CC,salt x corn,between,4.4,D,TB,same,same_b,20,6,3,5,6
3SC x 4SC,salt x salt,within,4.4,E,TB,diff,diff_b,20,3,5,3,9
3SC x 3CC,salt x corn,between,4.4,F,TB,diff,diff_r,20,5,6,2,7
4SC x 4CC,salt x corn,between,5.1,A,TB,diff,diff_b,21,5,6,2,8
7SC x 7CC,salt x corn,between,5.1,B,TB,same,same_r,20,6,4,7,3
5CC x 6CC,corn x corn,within,5.1,C,TB,same,same_b,20,5,3,8,4
5SC x 6SC,salt x salt,within,5.1,D,TB,diff,diff_r,20,4,7,5,4
1CC x 2CC,corn x corn,within,5.1,E,IG,diff,diff_b,21,6,6,3,6
1SC x 1CC,salt x corn,between,5.1,F,IG,diff,diff_r,20,2,6,8,4
1SC x 2SC,salt x salt,within,5.1,G,IG,same,same_b,20,8,5,5,2
7SC x 7CC,salt x corn,between,5.2,A,IG,diff,diff_b,20,6,7,3,4
5SC x 6SC,salt x salt,within,5.2,B,IG,same,same_r,20,7,3,3,7
5CC x 6CC,corn x corn,within,5.2,C,IG,diff,diff_r,20,6,4,5,5
4SC x 4CC,salt x corn,between,5.2,D,IG,same,same_b,20,5,6,5,4
3SC x 3CC,salt x corn,between,5.2,E,TB,same,same_r,20,7,3,6,4
6SC x 6CC,salt x corn,between,5.2,F,TB,diff,diff_r,20,7,4,4,5
3SC x 4SC,salt x salt,within,5.2,G,TB,same,same_b,20,2,6,6,6
1CC x 2CC,corn x corn,within,5.3,A,TB,same,same_r,20,5,2,6,7
1SC x 2SC,salt x salt,within,5.3,B,TB,diff,diff_b,20,4,5,8,3
1SC x 1CC,salt x corn,between,5.3,C,TB,same,same_b,19,4,6,5,4
5SC x 5CC,salt x corn,between,5.3,D,IG,diff,diff_r,20,9,5,4,2
2SC x 2CC,salt x corn,between,5.3,E,IG,same,same_r,20,4,9,1,6
