invasive growth;non_inv;non_inv;inv;inv;non_inv;non_inv;non_inv;non_inv;non_inv;non_inv;non_inv;non_inv;inv;inv;inv;inv;inv;non_inv;inv;inv
saple code;10_14;1_13;1_14;14_12;15_13;16_14;24_14;26_10;35_11;37_10;37_12;38_12;44_14;46_12;50_12;51_10;5_13;55_14;80_11;9_13
hsa-miR-200b-3p z prekursora hsa-mir-200b;7789,4720527085;5594,87817583603;5721,80129986481;7695,59431862941;4999,13419335508;6673,6685730995;32,4769467196631;3597,4213212207;5007,76280146947;7963,90708779058;5006,05975544165;5670,03796583476;2780,61850960957;6613,51056482732;5554,88953808527;5446,79737215147;3351,90118900476;4943,49643344089;5593,3112682395;3351,1378096529
hsa-miR-15a-5p z prekursora hsa-mir-15a;8416,34637010147;5103,33849113726;2764,00740153897;5138,21980064155;3150,05769212322;7813,16370309515;3157,75851181955;5956,93844761651;5559,96560196821;5061,43195966774;1979,34409774165;2787,7282471031;3464,05106102613;5862,27617724554;4492,9761741801;4181,92998239629;2699,55773133665;2830,16498283995;5317,31634438717;6755,37861224367
hsa-miR-345-5p z prekursora hsa-mir-345;97,6183270987174;132,522954208002;52,4534878520839;140,824587994926;179,191748934094;158,388917989865;176,124980287404;97,2716641236413;68,8497130392828;69,7622105431171;129,196731348156;95,7940545981492;89,5140348009212;88,2651369221412;158,941479630057;81,701960582272;138,652781197423;140,71176743951;137,532824007218;100,556731307859
hsa-miR-7-1-3p z prekursora hsa-mir-7-1;148,19167728239;137,341970724657;83,0513557657994;170,867166767177;202,335888718145;175,585429085907;199,858133659465;314,638511327309;101,166925282211;139,524421086234;166,826847274803;175,82453059154;306,905262174587;278,035181304745;123,237234205914;110,448946713071;207,78052884313;151,33152347268;177,491685036342;96,0373276535728
hsa-miR-17-5p z prekursora hsa-mir-17;277,565363798763;577,077227869392;249,154067297398;501,335533261938;340,148721068633;402,113906080392;346,004393897949;328,223939277538;564,848666159014;409,394025029345;254,630451103647;441,380200933245;444,728458614101;196,144748715869;401,96069848471;478,107769333296;179,970515422444;260,184022812678;364,276128451551;357,032888688577
hsa-miR-26a-5p z prekursora hsa-mir-26a-2;62,334594412434;30,1188532290915;49,5394051936348;39,4308846385794;28,7548403377607;54,1754748063293;43,718966738008;69,0139739871645;29,5070198739784;45,8961911467876;65,2255342728554;46,0781528446794;25,5754385145489;28,440988563801;34,5524955717516;66,5719678818513;59,5928859014714;41,1515546285358;39,9588610291242;42,9343347157149
hsa-miR-128-3p z prekursora hsa-mir-128-1;620,993695278588;412,025912173971;314,720927112503;364,266267613543;242,662798947932;764,792204008205;475,912180776601;528,201438704913;252,917313205529;440,603435009161;341,179717734936;837,894831991406;430,519881661573;498,207661738308;350,131955127083;322,268844518962;423,506775806457;370,363991656822;477,647780673717;608,989642415009
hsa-miR-421 z prekursora hsa-mir-421;168,185792471284;99,9945927205836;64,1098184858803;114,537331569207;170,77569810353;108,738840840389;169,879413610545;213,019510259594;75,8751939616586;159,718745190821;195,676602818566;161,273534956378;244,387523583467;160,348332075223;231,501720330736;102,883950362861;191,889092602738;241,59944975463;139,391375682991;195,46420804786
hsa-miR-340-3p z prekursora hsa-mir-340;55,2778478751773;51,8044275540373;62,6527771566557;51,6356822648063;60,3150309523761;54,1754748063293;44,9680800733796;63,5798028070728;60,4191359324319;66,0905152513741;81,5319178410693;162,486117925975;92,3557501914267;58,3530627429711;103,657486715255;62,0329700717251;52,4417395932948;91,5953957860959;35,3124818396911;97,1671785671442
hsa-miR-671-3p z prekursora hsa-mir-671;19,9941151888939;27,7093449707641;26,2267439260419;16,8989505593912;11,5720698920256;13,3175988187397;24,9822667074331;31,5181928445318;29,5070198739784;31,2094099798156;27,5954183462081;27,889408300727;41,2048731623288;18,1433892562179;25,3384967526179;42,3639795611781;41,71502013103;17,2571035539021;35,3124818396911;31,6358255800004
hsa-let-7g-3p z prekursora hsa-let-7g;274,036990530134;214,446234991131;91,7936037411468;198,09325377953;139,566176273521;195,626475851972;77,4450267930427;157,590964222659;140,509618447516;170,73383106605;104,109987397058;55,778816601454;173,344638820832;127,494086665315;164,700228892016;190,637908025301;143,817497975551;110,179968844144;214,662718551807;198,853760788574
hsa-miR-197-3p z prekursora hsa-mir-197;189,356032083054;324,078860745024;125,305554313311;234,707646658211;129,396781519923;91,1544385166162;131,156900214024;203,781419253438;155,965676476743;357,990290944943;186,896242435682;242,516593919365;193,23664655437;105,42780243478;279,875214131188;172,481916784796;144,214783881561;345,142071078042;154,259789089177;184,165698912145
hsa-miR-339-5p z prekursora hsa-mir-339;379,888188588985;284,321974482623;132,590760959434;227,197001965148;167,269010257462;332,681376316672;241,07887372673;218,997098557695;588,735301295092;357,990290944943;247,104427918318;115,195382111698;413,469589318541;177,020635716072;354,73895453665;201,228902915596;312,66400802972;268,148839837556;281,570578879642;358,162739602148
hsa-miR-200c-3p z prekursora hsa-mir-200c;4640,98697266914;5410,55079407399;4591,13722838656;6636,59341690756;6112,15691569718;4209,91279163266;5527,32650901958;3962,59762452286;5602,11848750246;6043,61045020899;5606,88727307046;6050,78901828816;5754,47366577351;6842,5095589531;8616,24064574246;4458,80884881399;4609,31108152581;5268,72646195673;4469,81678023459;3531,91395582434
hsa-let-7e-5p z prekursora hsa-let-7e;23294,3203194843;7732,11200097236;9150,21954753018;24994,4867079262;14160,7068599933;15190,0790720696;13572,8655021484;10818,3479853265;15613,428801888;17574,5695139279;9095,19901947067;25979,590123612;8020,74168970159;21469,5138325673;7788,13250187281;17293,5816565809;7887,31709201275;12078,6450182273;21716,2470555722;21728,1629188925
hsa-miR-324-3p z prekursora hsa-mir-324;75,2719630640713;108,427871624729;62,6527771566557;124,864468022168;75,0431199058633;55,9856338690706;119,914880195679;86,4033217634579;81,4955786995593;134,01687814862;95,3296270141733;123,683462898876;89,5140348009212;55,4108915122331;88,6847386341625;122,552940873408;157,325218779885;108,852499339998;75,2713428688153;119,764196838573
hsa-miR-499a-5p z prekursora hsa-mir-499a;22,3463640346462;15,6618036791276;32,0549092429401;7,51064469306274;10,5200635382051;30,7727040666023;21,2349267013182;27,7142730184676;22,4815389516026;20,1943241045865;18,8150579633237;40,0152379966952;14,2085769525272;25,9891792048527;16,1244979334841;18,1559912405049;25,029012078618;34,5142071078042;19,5147925956188;21,4671673578574
hsa-miR-1250-5p z prekursora hsa-mir-1250;14,1134930745134;7,22852477498195;8,74224797534731;13,1436282128598;13,6760825996667;15,2570549573911;28,7296067135481;12,4985937142109;11,2407694758013;20,1943241045865;23,8324067535433;4,8503318783873;24,1545808192962;18,1433892562179;18,4279976382675;18,1559912405049;24,6317261726082;23,8944510746337;20,4440684335054;21,4671673578574
hsa-let-7a-5p z prekursora hsa-let-7a-1;114,084069018983;27,7093449707641;59,7386944982066;96,6995504231828;61,0163685215898;77,7075426219664;63,7047801039545;70,644225341192;39,3426931653045;115,658401689905;51,4278250997514;107,919884294117;26,9962962098016;76,496451999189;47,2217439480605;102,883950362861;54,4281691233439;80,9756397529253;83,6348254097948;93,7776258264299
