"BBB","GPW","GWB","WWR","YBR","YGR","YWR","YYR","YYW"
"Brood Care","Exploring","Food Processing","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"Brood Care","Exploring","Food Processing","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"Brood Care","Exploring","Food Processing","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"Brood Care","Exploring","Food Processing","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"Brood Care","Self Maintenance","Food Processing","Food Processing","Brood Care","Resting","Resting","Brood Care","Resting"
"Brood Care","Self Maintenance","Food Processing","Food Processing","Brood Care","Resting","Resting","Brood Care","Resting"
"Brood Care","Self Maintenance","Food Processing","Food Processing","Brood Care","Resting","Resting","Brood Care","Resting"
"Brood Care","Self Maintenance","Food Processing","Food Processing","Brood Care","Resting","Resting","Brood Care","Resting"
"Brood Care","Self Maintenance","Food Processing","Food Processing","Brood Care","Resting","Resting","Brood Care","Resting"
"Brood Care","Self Maintenance","Food Processing","Food Processing","Brood Care","Resting","Resting","Brood Care","Resting"
"Brood Care","Self Maintenance","Food Processing","Food Processing","Brood Care","Resting","Resting","Brood Care","Resting"
"Brood Care","Self Maintenance","Food Processing","Food Processing","Brood Care","Resting","Resting","Brood Care","Resting"
"Brood Care","Self Maintenance","Food Processing","Food Processing","Brood Care","Resting","Resting","Brood Care","Resting"
"Brood Care","Self Maintenance","Food Processing","Food Processing","Brood Care","Resting","Resting","Brood Care","Resting"
"Brood Care","Self Maintenance","Food Processing","Food Processing","Brood Care","Resting","Resting","Brood Care","Resting"
"Brood Care","Self Maintenance","Food Processing","Food Processing","Brood Care","Resting","Resting","Brood Care","Resting"
"Brood Care","Self Maintenance","Food Processing","Food Processing","Brood Care","Exploring","Resting","Brood Care","Resting"
"Brood Care","Self Maintenance","Food Processing","Food Processing","Brood Care","Exploring","Resting","Brood Care","Resting"
"Brood Care","Self Maintenance","Food Processing","Food Processing","Brood Care","Exploring","Resting","Brood Care","Resting"
"Brood Care","Self Maintenance","Food Processing","Food Processing","Brood Care","Exploring","Resting","Brood Care","Resting"
"Brood Care","Self Maintenance","Food Processing","Food Processing","Brood Care","Exploring","Resting","Brood Care","Resting"
"Brood Care","Self Maintenance","Food Processing","Food Processing","Antennating Nestmate","Exploring","Resting","Brood Care","Resting"
"Brood Care","Self Maintenance","Food Processing","Food Processing","Antennating Nestmate","Exploring","Resting","Brood Care","Resting"
"Brood Care","Self Maintenance","Food Processing","Food Processing","Antennating Nestmate","Exploring","Resting","Brood Care","Resting"
"Brood Care","Self Maintenance","Food Processing","Food Processing","Antennating Nestmate","Exploring","Resting","Brood Care","Resting"
"Brood Care","Self Maintenance","Food Processing","Food Processing","Antennating Nestmate","Exploring","Resting","Brood Care","Resting"
"Brood Care","Exploring","Food Processing","Food Processing","Antennating Nestmate","Exploring","Resting","Brood Care","Resting"
"Brood Care","Exploring","Food Processing","Food Processing","Antennating Nestmate","Exploring","Resting","Brood Care","Resting"
"Brood Care","Exploring","Food Processing","Food Processing","Antennating Nestmate","Exploring","Resting","Brood Care","Resting"
"Brood Care","Exploring","Food Processing","Food Processing","Antennating Nestmate","Exploring","Resting","Brood Care","Resting"
"Brood Care","Exploring","Food Processing","Food Processing","Antennating Nestmate","Exploring","Resting","Brood Care","Resting"
"Brood Care","Exploring","Food Processing","Food Processing","Antennating Nestmate","Resting","Resting","Brood Care","Resting"
"Brood Care","Exploring","Food Processing","Food Processing","Antennating Nestmate","Resting","Resting","Brood Care","Resting"
"Brood Care","Exploring","Food Processing","Food Processing","Antennating Nestmate","Resting","Resting","Brood Care","Resting"
"Brood Care","Exploring","Food Processing","Food Processing","Antennating Nestmate","Resting","Resting","Brood Care","Resting"
"Brood Care","Exploring","Food Processing","Food Processing","Antennating Nestmate","Resting","Resting","Brood Care","Resting"
"Brood Care","Exploring","Food Processing","Food Processing","Brood Care","Resting","Resting","Brood Care","Resting"
"Brood Care","Exploring","Food Processing","Food Processing","Brood Care","Resting","Resting","Brood Care","Resting"
"Brood Care","Exploring","Food Processing","Food Processing","Brood Care","Resting","Resting","Brood Care","Resting"
"Brood Care","Exploring","Food Processing","Food Processing","Brood Care","Resting","Resting","Brood Care","Resting"
"Brood Care","Exploring","Food Processing","Food Processing","Brood Care","Resting","Resting","Brood Care","Resting"
