nordicus	13651	nd20	Rubus	nordicus		Bh	Stala	Rörholmen, S-sidan	6452533	1252610	2013-07-04		2013-07-04	TM													5		5		5		5												3																																															5			5							2								2																																		2																										2									4	4				5				3?		5																	2																																																										5						5										5																																																												3				1		
nordicus	13652	nd21	Rubus	nordicus		Bh	Morlanda	Vrångevatten, vid landsvägen	6462088	1251989	2013-07-04		2013-07-04	TM													5		5		5		5												3																																															5			5							4								4																																		2																										3										4				5						4																	2																																																										5								5						5		4				2																																																								5				0		
nordicus	13643	nd3	Rubus	nordicus		Bh	Tegneby	Kvarnhagen	6449564	1249324	2012-07-09		2012-07-09	TM													5		5		5		5												3																																															5			5							4								4																																		2																										2										4				5						4																	2																																																										4						5								4		3				2																																																								5				0		
nordicus	13644	nd4	Rubus	nordicus		Bh	Högås	Tångavägen	6474624	1258914	2012-07-16		2012-07-16	TM													5		5		5		5												3																																															5			5							4								4																																				2																								4										5				5						5																			2																																																								5						4								5		4				2																																																								5				0		
nordicus	13645	nd5	Rubus	nordicus		Bh	Askum	Kungshamn, Klippsjöns ind.omr.	6480049	1234866	2012-07-16		2012-07-16	TM													5		5		5		5												3																																															5			5							4								4																																		1																										4										4				5						5																	1																																																										4						5								4		4				1																																																								5				0		
nordicus	13646	nd6	Rubus	nordicus		Bh	Tossene	Ödby	6485979	1236147	2012-07-16		2012-07-16	TM													4		4		4		5												2																																															5			5							3								3																																		1																										3										2				5						5																	1																																																										4						5								4		3				1																																																								5				0		
nordicus	13647	nd7	Rubus	nordicus		Bh	Morlanda	Slätthult	6459009	1245334	2012-07-20		2012-07-20	TM													5		5		5		5												3																																															5			5							4								4																																		1																										2										4				5						4																	2																																																										5						4								4		4				2																																																								5				0		
nordicus	13648	nd8	Rubus	nordicus		Bh	Mollösund	Mollösund	6447257	1244254	2012-07-20		2012-07-20	TM													5		5		5		5												3																																															5			5							4								4																																		1																										2										4				5						5																	2																																																										5						4								4		4				2																																																								5				0		
nordicus	13649	nd9	Rubus	nordicus		Bh	Morlanda	Torebo	6461398	1250180	2012-07-20		2012-07-20	TM													5		5		5		5												3																																															5			5							4								4																																		2																										3										4				5						5													2																																																														5						5								5		4						2																																																						5				0		
nordicus	13466	wa12	Rubus	wahlbergii		Sk	Brunnby	Karl XII skansar	6244911	1394610	2002-07-02		2002-07-02	UR													4		4		4		5												2																																															5			5							5								5																																			3																									5										3				3						3																		1																																																									5						3								5		4	xs			2																																																								5				0		
nordicus	13656	wa15	Rubus	wahlbergii	Kärr på strand	Hl	Steninge	Glassvik	6299433	1305003	2004-08-07	1	2004-08-07	UR													5		5		5		5												2																																															5			5							4								3																																			2																									4										3				5						5																							1																																																				5						5								5		3				2																																																								5				0		
nordicus	13657	wa16	Rubus	wahlbergii	vägkant	Hl	Steninge	100 m Ö Steninge kyrka	6299584	1308917	2003-06-29		2003-06-29	UR													5		5		5		5												3																																															5			5							4								4																																		2																										3										3				4						5																	2																																																										5						4						3				3				1																																																								5				0		
nordicus	13658	wa17	Rubus	wahlbergii	vägkant	Hl	Eftra	mitt emot Dahlbergs	6299972	1305551	2007-07-20		2007-07-20	UR	35.4												5		5		5		5												2																																															5			5							3								3																																			2																									3										3				5						5																							1																																																				5						5								5		2				2																																																								5				0		
nordicus	13659	wa18	Rubus	wahlbergii	vägkant	Hl	Eftra	SO-hörnet av trevägskorset 150 m NV Örkne	6305600	1307000	1998-09-05	1	1998-09-05	UR	36.4												5		5		5		5												2																																															5			5							3								3																																			2																									3										3				5						5																	2																																																										5						5						4								4																																																								4				0		
nordicus	13664	wa23a	Rubus	wahlbergii	Vägdike	Hl	Onsala	Rydet, vägen till Vässingsö, mitt för Mårtagårdsvägen	6369537	1271483	2001-07-02	9b	2001-07-02	UR													5		5		5		5												3																																															5			5							4								4																																		2																										3										3				5						3																			2																																																										5				5								5								2																																																						4				0		
nordicus	13665	wa24	Rubus	wahlbergii	vägkant	Hl	Onsala	Mariedal: Lunnav, 10 m V om Smedv, i N vägkanten	6371591	1270312	2006-07-06	6	2006-07-06	UR	35.4												4		5		5		5												2																																															5			5							3								3																																					2																							3										3				5						5																	2																																																										5						5								5						2																																																								4				0		
nordicus	13666	wa25	Rubus	wahlbergii	vägkant	Hl	Onsala	V mot V Hagen (V Hagenv 16)	6373650	1267530	2004-07-06	5	2004-07-06	UR	35.4												5		5		5		5												2																																															5			5							3								3																																	2																											3										3				5						5															2																																																												5						5				3						3						1																																																						5				0		
