Host.Species,Lake,Year,Julian.Day,Julian,Date,Total,Uninfected.Adult,Uninfected.Juv,Uninfected.Males,Uninfected.Ephip,pasteuria.inf,metsch.inf,spiro.inf,brood.inf,larssonia.inf,spider.inf,gurleya.inf,caullerya.inf,micG.inf,coke.inf,pasteuria.prev,pasteuria.inf.density,metsch.prev,metsch.inf.density,spiro.prev,spiro.inf.density,brood.prev,brood.inf.density,larssonia.prev,spider.prev,gurleya.prev,caullerya.prev,micG.prev,micG.inf.density,coke.prev,Host.Density,Total.Density,Dentifera.density,Pulicaria.density,Retrocurva.density,Ceriodaphnia.density,Dubia.density,Parvula.density,Ambigua.density,Mendotae.density
parvula,Bishop,2021,2021314,314,11/10/21,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.5,122668.5,25443.7,767.1,93927.8,407.6,1576.2,70.5,475.6,0
pulicaria,Bishop,2021,2021160,160,6/9/21,213,131,46,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0.169014085,5707.014085,0,0,0,0,0,0,0,0,0,33766.5,196416.2,140138.7,33766.5,6341.1,317.1,4914.4,0,0,10938.4
pulicaria,Bishop,2021,2021174,174,6/23/21,133,35,69,2,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0.203007519,733.7503759,0,0,0,0,0,0,0,0,0,3614.4,81284.1,69299.4,3614.4,2554.6,271.8,4293.8,543.5,0,706.6
pulicaria,Bishop,2021,2021188,188,7/7/21,15,9,6,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,407.6,74536.5,51006.4,407.6,19999,39,2636.1,0,448.4,0
pulicaria,Bishop,2021,2021202,202,7/21/21,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,611.5,53965.2,28861.1,611.5,20789.8,152.9,3397,152.9,0,0
pulicaria,Bishop,2021,2021216,216,8/4/21,27,12,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,733.8,75801.3,29486.2,733.8,40084.9,34,5217.8,0,244.6,0
pulicaria,Bishop,2021,2021230,230,8/18/21,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,181.2,74730.1,23480.3,181.2,35872.6,452.9,14607.2,0,135.9,0
pulicaria,Bishop,2021,2021244,244,9/1/21,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,317.1,93769.4,21401.3,317.1,21005,396.3,50649.7,0,0,0
pulicaria,Bishop,2021,2021258,258,9/15/21,6,2,4,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,188.1,57516.4,14675.2,188.1,23031.8,2772,16849.3,0,0,0
pulicaria,Bishop,2021,2021272,272,9/29/21,29,15,11,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034482759,794.9,49858.2,17992.9,794.9,17992.9,877.2,11962.5,0,237.8,0
pulicaria,Bishop,2021,2021286,286,10/13/21,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.9,51422.5,9851.4,84.9,28874.7,254.8,12356.7,0,0,0
pulicaria,Bishop,2021,2021300,300,10/27/21,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.1,74183.7,19648.4,74.1,50751.6,597.9,3070.9,0,40.8,0
pulicaria,Bishop,2021,2021314,314,11/10/21,25,11,9,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,767.1,122668.5,25443.7,767.1,93927.8,407.6,1576.2,70.5,475.6,0
retrocurva,Bishop,2021,2021160,160,6/9/21,40,16,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6341.1,196416.2,140138.7,33766.5,6341.1,317.1,4914.4,0,0,10938.4
retrocurva,Bishop,2021,2021174,174,6/23/21,94,22,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2554.6,81284.1,69299.4,3614.4,2554.6,271.8,4293.8,543.5,0,706.6
retrocurva,Bishop,2021,2021188,188,7/7/21,223,122,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19999,74536.5,51006.4,407.6,19999,39,2636.1,0,448.4,0
retrocurva,Bishop,2021,2021202,202,7/21/21,238,108,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20789.8,53965.2,28861.1,611.5,20789.8,152.9,3397,152.9,0,0
retrocurva,Bishop,2021,2021216,216,8/4/21,295,152,142,0,0,1,0,0,0,0,0,0,0,0,0,0.003389831,135.8810169,0,0,0,0,0,0,0,0,0,0,0,0,0,40084.9,75801.3,29486.2,733.8,40084.9,34,5217.8,0,244.6,0
retrocurva,Bishop,2021,2021230,230,8/18/21,264,129,126,0,0,9,0,0,0,0,0,0,0,0,0,0.034090909,1222.929545,0,0,0,0,0,0,0,0,0,0,0,0,0,35872.6,74730.1,23480.3,181.2,35872.6,452.9,14607.2,0,135.9,0
retrocurva,Bishop,2021,2021244,244,9/1/21,265,102,152,0,0,11,0,0,0,0,0,0,0,0,0,0.041509434,871.9056604,0,0,0,0,0,0,0,0,0,0,0,0,0,21005,93769.4,21401.3,317.1,21005,396.3,50649.7,0,0,0
