Sample ID,Lake,Collection Date,Point,Replicate,Preservation,Extraction Method,Species,Habitat,Detection 
SLEX113,St. Louis River Estuary,8/25/2021,10,3,CTAB,phenol-chloroform-isoamyl,rc,Offshore,0
VERX003,Lake Vermilion,7/26/2021,1,1,ETOH,Qiagen DNeasy Powersoil Pro Kit,rc,Nearshore,0
VERX004,Lake Vermilion,7/26/2021,1,1,CTAB,phenol-chloroform-isoamyl,rc,Nearshore,0
VERX008,Lake Vermilion,7/26/2021,1,2,ETOH,Qiagen DNeasy Powersoil Pro Kit,rc,Nearshore,0
VERX009,Lake Vermilion,7/26/2021,1,2,CTAB,phenol-chloroform-isoamyl,rc,Nearshore,1
VERX013,Lake Vermilion,7/26/2021,1,3,ETOH,Qiagen DNeasy Powersoil Pro Kit,rc,Nearshore,0
VERX014,Lake Vermilion,7/26/2021,1,3,CTAB,phenol-chloroform-isoamyl,rc,Nearshore,0
VERX025,Lake Vermilion,7/26/2021,3,1,ETOH,Qiagen DNeasy Powersoil Pro Kit,rc,Nearshore,0
VERX026,Lake Vermilion,7/26/2021,3,1,CTAB,phenol-chloroform-isoamyl,rc,Nearshore,1
VERX030,Lake Vermilion,7/26/2021,3,2,ETOH,Qiagen DNeasy Powersoil Pro Kit,rc,Nearshore,0
VERX031,Lake Vermilion,7/26/2021,3,2,CTAB,phenol-chloroform-isoamyl,rc,Nearshore,1
VERX035,Lake Vermilion,7/26/2021,3,3,ETOH,Qiagen DNeasy Powersoil Pro Kit,rc,Nearshore,0
VERX036,Lake Vermilion,7/26/2021,3,3,CTAB,phenol-chloroform-isoamyl,rc,Nearshore,1
VERX045,Lake Vermilion,7/26/2021,5,1,ETOH,Qiagen DNeasy Powersoil Pro Kit,rc,Nearshore,0
VERX046,Lake Vermilion,7/26/2021,5,1,CTAB,phenol-chloroform-isoamyl,rc,Nearshore,0
VERX050,Lake Vermilion,7/26/2021,5,2,ETOH,Qiagen DNeasy Powersoil Pro Kit,rc,Nearshore,0
VERX051,Lake Vermilion,7/26/2021,5,2,CTAB,phenol-chloroform-isoamyl,rc,Nearshore,0
VERX055,Lake Vermilion,7/26/2021,5,3,ETOH,Qiagen DNeasy Powersoil Pro Kit,rc,Nearshore,0
VERX056,Lake Vermilion,7/26/2021,5,3,CTAB,phenol-chloroform-isoamyl,rc,Nearshore,0
VERX070,Lake Vermilion,7/27/2021,7,1,ETOH,Qiagen DNeasy Powersoil Pro Kit,rc,Offshore,0
VERX071,Lake Vermilion,7/27/2021,7,1,CTAB,phenol-chloroform-isoamyl,rc,Offshore,0
VERX075,Lake Vermilion,7/27/2021,7,2,ETOH,Qiagen DNeasy Powersoil Pro Kit,rc,Offshore,0
VERX076,Lake Vermilion,7/27/2021,7,2,CTAB,phenol-chloroform-isoamyl,rc,Offshore,0
VERX080,Lake Vermilion,7/27/2021,7,3,ETOH,Qiagen DNeasy Powersoil Pro Kit,rc,Offshore,0
VERX081,Lake Vermilion,7/27/2021,7,3,CTAB,phenol-chloroform-isoamyl,rc,Offshore,0
VERX102,Lake Vermilion,7/27/2021,10,1,ETOH,Qiagen DNeasy Powersoil Pro Kit,rc,Offshore,0
VERX103,Lake Vermilion,7/27/2021,10,1,CTAB,phenol-chloroform-isoamyl,rc,Offshore,0
VERX107,Lake Vermilion,7/27/2021,10,2,ETOH,Qiagen DNeasy Powersoil Pro Kit,rc,Offshore,0
VERX108,Lake Vermilion,7/27/2021,10,2,CTAB,phenol-chloroform-isoamyl,rc,Offshore,0
VERX112,Lake Vermilion,7/27/2021,10,3,ETOH,Qiagen DNeasy Powersoil Pro Kit,rc,Offshore,0
VERX113,Lake Vermilion,7/27/2021,10,3,CTAB,phenol-chloroform-isoamyl,rc,Offshore,1
LOWX003,Lake of the Woods,8/17/2021,1,1,ETOH,Qiagen DNeasy Powersoil Pro Kit,sw,Nearshore,0
LOWX004,Lake of the Woods,8/17/2021,1,1,CTAB,phenol-chloroform-isoamyl,sw,Nearshore,0
LOWX008,Lake of the Woods,8/17/2021,1,2,ETOH,Qiagen DNeasy Powersoil Pro Kit,sw,Nearshore,0
LOWX009,Lake of the Woods,8/17/2021,1,2,CTAB,phenol-chloroform-isoamyl,sw,Nearshore,1
LOWX013,Lake of the Woods,8/17/2021,1,3,ETOH,Qiagen DNeasy Powersoil Pro Kit,sw,Nearshore,0
LOWX014,Lake of the Woods,8/17/2021,1,3,CTAB,phenol-chloroform-isoamyl,sw,Nearshore,1
LOWX025,Lake of the Woods,8/17/2021,3,1,ETOH,Qiagen DNeasy Powersoil Pro Kit,sw,Nearshore,0
LOWX026,Lake of the Woods,8/17/2021,3,1,CTAB,phenol-chloroform-isoamyl,sw,Nearshore,1
LOWX030,Lake of the Woods,8/17/2021,3,2,ETOH,Qiagen DNeasy Powersoil Pro Kit,sw,Nearshore,0
LOWX031,Lake of the Woods,8/17/2021,3,2,CTAB,phenol-chloroform-isoamyl,sw,Nearshore,0
LOWX035,Lake of the Woods,8/17/2021,3,3,ETOH,Qiagen DNeasy Powersoil Pro Kit,sw,Nearshore,0
LOWX036,Lake of the Woods,8/17/2021,3,3,CTAB,phenol-chloroform-isoamyl,sw,Nearshore,0
LOWX045,Lake of the Woods,8/18/2021,5,1,ETOH,Qiagen DNeasy Powersoil Pro Kit,sw,Nearshore,0
LOWX046,Lake of the Woods,8/18/2021,5,1,CTAB,phenol-chloroform-isoamyl,sw,Nearshore,0
LOWX050,Lake of the Woods,8/18/2021,5,2,ETOH,Qiagen DNeasy Powersoil Pro Kit,sw,Nearshore,0
LOWX051,Lake of the Woods,8/18/2021,5,2,CTAB,phenol-chloroform-isoamyl,sw,Nearshore,1
LOWX055,Lake of the Woods,8/18/2021,5,3,ETOH,Qiagen DNeasy Powersoil Pro Kit,sw,Nearshore,0
LOWX056,Lake of the Woods,8/18/2021,5,3,CTAB,phenol-chloroform-isoamyl,sw,Nearshore,1
LOWX070,Lake of the Woods,8/17/2021,7,1,ETOH,Qiagen DNeasy Powersoil Pro Kit,sw,Offshore,0
LOWX071,Lake of the Woods,8/17/2021,7,1,CTAB,phenol-chloroform-isoamyl,sw,Offshore,0
LOWX075,Lake of the Woods,8/17/2021,7,2,ETOH,Qiagen DNeasy Powersoil Pro Kit,sw,Offshore,0
LOWX076,Lake of the Woods,8/17/2021,7,2,CTAB,phenol-chloroform-isoamyl,sw,Offshore,0
LOWX080,Lake of the Woods,8/17/2021,7,3,ETOH,Qiagen DNeasy Powersoil Pro Kit,sw,Offshore,0
LOWX081,Lake of the Woods,8/17/2021,7,3,CTAB,phenol-chloroform-isoamyl,sw,Offshore,0
LOWX102,Lake of the Woods,8/17/2021,10,1,ETOH,Qiagen DNeasy Powersoil Pro Kit,sw,Offshore,0
LOWX103,Lake of the Woods,8/17/2021,10,1,CTAB,phenol-chloroform-isoamyl,sw,Offshore,0
LOWX107,Lake of the Woods,8/17/2021,10,2,ETOH,Qiagen DNeasy Powersoil Pro Kit,sw,Offshore,0
